Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
114,Marit Lindemann,Germany,Female,F30-34,09:12:31,61,1,1,01:04:43,403,29,5,05:03:13,190,1,1,02:58:06,24,1,1,00:3:59,58,2,2,00:2:29,29,2,2,FIN,08:15:59,1,1
1009,Jan Blokland,Netherlands,Male,M60-64,10:04:48,275,268,1,01:01:02,223,211,2,05:01:19,167,167,1,03:50:13,622,570,8,00:6:31,612,538,10,00:5:43,934,832,26,FIN,08:19:41,2,1
2696,Thierry Girard,France,Male,M65-69,11:05:58,813,762,1,01:13:31,1137,1030,2,05:18:36,438,431,1,04:20:25,1303,1179,4,00:7:58,1140,985,2,00:5:28,844,757,3,FIN,08:22:56,3,1
117,Pete Eggleston,United Kingdom,Male,M55-59,09:43:25,163,160,1,01:02:59,314,297,12,05:01:02,164,164,1,03:30:01,244,235,5,00:5:21,272,248,6,00:4:02,361,326,8,FIN,08:25:38,4,1
2170,Kurt Kriechbaum,Austria,Male,M55-59,09:44:17,169,166,2,01:03:23,340,316,14,05:07:44,247,244,3,03:26:05,191,184,3,00:4:17,84,81,1,00:2:48,60,54,1,FIN,08:26:23,5,1
258,Natasha Harris-White,United Kingdom,Female,F25-29,09:28:13,100,2,1,00:59:34,164,11,3,05:10:54,297,5,2,03:08:15,59,2,1,00:6:00,449,47,11,00:3:29,192,16,4,FIN,08:29:10,6,1
2171,Eva Berger,Austria,Female,F25-29,09:29:04,106,3,2,01:00:06,179,12,4,05:10:29,288,4,1,03:10:39,73,3,2,00:4:59,190,13,5,00:2:51,70,9,3,FIN,08:29:56,7,1
329,Marcin Chojnacki,Poland,Male,M50-54,09:27:55,99,98,1,01:05:35,471,435,31,04:58:04,138,138,3,03:16:49,115,112,2,00:4:26,96,91,2,00:3:00,99,89,4,FIN,08:31:14,8,1
1177,Thierry Reghem,France,Male,M65-69,11:18:50,944,879,2,01:09:30,778,713,1,05:49:33,1157,1095,2,04:08:10,1015,921,2,00:7:30,970,846,1,00:4:08,399,362,1,FIN,08:32:39,9,
164,Han Peter Lucas,Netherlands,Male,M40-44,08:49:48,27,27,1,00:53:03,44,44,3,04:41:19,40,40,1,03:06:34,50,49,3,00:4:02,64,62,6,00:4:49,607,545,76,FIN,08:33:00,10,1
888,Bernd Wester,Germany,Male,M55-59,09:51:59,211,206,3,01:10:40,862,792,38,05:07:48,249,246,4,03:23:30,165,161,2,00:5:54,422,381,11,00:4:07,391,354,9,FIN,08:33:04,11,1
