Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
209,Robert Picken,Australia,Male,M70-74,12:04:46,366,335,1,01:14:18,520,473,1,06:22:50,492,462,1,04:07:53,265,240,1,00:11:39,815,702,3,00:8:05,660,574,1,FIN,08:18:20,1,1
996,Warwick Sinclair,Australia,Male,M60-64,10:11:43,72,66,1,01:04:33,173,161,3,05:27:23,114,106,2,03:31:58,64,56,1,00:3:56,77,67,1,00:3:52,136,116,3,FIN,08:25:24,2,1
118,Rhys Corbishley,Australia,Male,M30-34,08:37:05,7,7,1,00:57:12,53,49,10,04:41:46,8,8,1,02:52:31,6,6,1,00:3:18,36,29,5,00:2:18,21,15,4,FIN,08:37:05,3,1
1055,Sam Musgrove,Australia,Male,M25-29,08:42:22,8,8,1,00:53:40,21,18,2,04:41:16,7,7,1,03:01:34,10,10,2,00:3:17,35,28,3,00:2:35,34,28,4,FIN,08:38:14,4,1
14381,Rosie Spicer,Australia,Female,F65-69,12:43:26,501,43,1,01:21:23,711,77,1,06:07:33,385,21,1,04:56:53,577,63,1,00:10:04,708,95,3,00:7:33,591,77,2,FIN,08:41:16,5,1
14357,Graham Bruce,Australia,Male,M60-64,10:33:18,121,111,2,00:56:37,45,41,1,05:32:55,153,142,3,03:56:32,196,178,3,00:4:04,94,81,2,00:3:10,68,57,1,FIN,08:43:13,6,1
137,Phil Lynch,Australia,Male,M60-64,10:37:31,129,118,3,01:08:04,299,274,5,05:19:22,73,68,1,03:58:48,208,190,4,00:6:04,279,245,6,00:5:13,299,264,11,FIN,08:46:42,7,
128,Thomas Blaha,Austria,Male,M40-44,09:05:42,13,12,1,00:56:46,48,44,4,04:45:29,9,9,1,03:17:20,28,25,2,00:3:12,32,25,5,00:2:55,50,41,5,FIN,08:48:24,8,1
1056,Jack Whaley,Australia,Male,M25-29,08:57:09,9,9,2,00:55:17,33,29,5,04:56:16,19,18,2,03:00:59,8,8,1,00:2:43,17,14,1,00:1:54,8,6,1,FIN,08:52:54,9,1
350,Sam Mckenzie,Australia,Male,M18-24,09:13:50,16,14,1,00:54:51,28,25,2,05:01:51,24,22,1,03:12:14,21,19,1,00:2:27,10,9,1,00:2:26,27,21,1,FIN,08:57:06,10,1
