Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
278,Kim Skotte,Norway,Male,M50-54,09:15:39,23,22,1,01:00:10,48,44,3,04:49:31,54,53,2,03:18:29,21,18,2,00:3:57,84,79,5,00:3:33,40,40,1,FIN,08:20:11,1,1
472,Bob Mcrae,United States,Male,M55-59,09:38:56,44,43,1,01:09:50,308,289,10,04:46:30,39,39,1,03:33:45,85,80,2,00:4:48,211,192,7,00:4:02,93,89,3,FIN,08:21:45,2,1
131,Ivan Grablev,Bulgaria,Male,M45-49,09:05:02,10,10,1,00:52:31,7,7,1,04:44:50,34,34,5,03:21:30,35,32,2,00:3:13,8,8,2,00:2:59,10,10,1,FIN,08:32:23,3,1
248,Phil Boyd,United Kingdom,Male,M50-54,09:32:19,39,38,2,01:05:25,156,144,9,04:54:04,73,72,4,03:25:16,45,42,4,00:3:31,38,36,1,00:4:03,95,91,3,FIN,08:35:11,4,1
807,Aart Wijk,Netherlands,Male,M65-69,11:26:29,471,442,1,01:04:51,136,125,1,05:28:15,448,433,1,04:38:57,816,719,1,00:5:41,406,369,1,00:8:45,1141,990,3,FIN,08:38:25,5,1
130,Timmo Jeret,Estonia,Male,M30-34,08:39:12,1,1,1,01:01:19,79,72,20,04:32:19,2,2,1,02:59:00,1,1,1,00:3:17,13,13,2,00:3:17,22,22,5,FIN,08:39:12,6,1
2327,Alexis Krug,Belgium,Male,M35-39,08:45:01,2,2,1,00:51:10,3,3,1,04:38:21,7,7,1,03:07:36,4,4,2,00:3:39,48,46,6,00:4:14,117,110,24,FIN,08:39:30,7,1
289,Marcin Chojnacki,Poland,Male,M45-49,09:16:23,25,24,2,01:07:23,209,195,34,04:40:36,8,8,1,03:21:25,33,30,1,00:3:50,66,63,9,00:3:09,14,14,2,FIN,08:43:03,8,1
1768,Jacqueline Kallina,Austria,Female,F30-34,09:43:37,48,2,1,01:00:22,53,5,1,05:01:53,134,3,1,03:30:56,73,4,3,00:5:34,384,34,5,00:4:52,221,15,3,FIN,08:43:54,9,1
356,Essie Amery,United Kingdom,Female,F40-44,10:04:44,109,6,1,01:08:35,264,18,1,05:15:01,283,9,1,03:32:27,80,5,1,00:4:02,97,7,1,00:4:39,182,12,2,FIN,08:46:32,10,1
