Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
1517,Alex Grigorev,Unknown,Male,M40-44,08:14:11,3,3,1,00:46:50,3,3,1,04:20:43,3,3,1,03:00:42,14,14,2,00:3:36,27,24,4,00:2:20,33,26,5,FIN,07:58:31,1,1
1520,Roberto C Fonseca,Brazil,Male,M45-49,08:36:09,8,8,1,00:50:20,20,20,4,04:45:38,42,42,7,02:54:02,5,5,1,00:3:22,14,13,1,00:2:47,85,71,9,FIN,08:05:13,2,1
1322,Christiano Abreu Barbosa,Brazil,Male,M50-54,08:59:30,38,37,1,00:58:36,124,115,7,04:47:05,50,50,2,03:05:50,25,25,1,00:4:50,121,107,10,00:3:08,130,112,4,FIN,08:05:39,3,1
111,Fellipe Santos,Brazil,Male,M30-34,08:08:38,2,2,1,00:45:49,1,1,1,04:22:14,5,5,1,02:54:45,6,6,3,00:3:39,31,27,2,00:2:11,23,18,5,FIN,08:08:38,4,1
1052,Arthur Ferraz,Brazil,Male,M45-49,08:39:55,11,11,2,00:53:41,49,48,8,04:29:05,6,6,1,03:11:05,51,51,5,00:3:42,32,28,4,00:2:21,35,28,2,FIN,08:08:46,5,1
1108,Bruno Khouri,Brazil,Male,M45-49,08:43:10,14,14,3,00:54:15,54,52,9,04:32:03,7,7,2,03:10:03,44,44,3,00:3:22,15,14,2,00:3:27,182,160,17,FIN,08:11:49,6,1
1397,Pedro Luiz Cerize,Brazil,Male,M55-59,09:29:28,104,100,1,01:00:12,196,182,3,04:53:07,80,77,1,03:25:44,167,158,4,00:5:15,160,144,5,00:5:10,432,384,9,FIN,08:13:33,7,1
1459,Marco Antonio Fernandez Diez,Chile,Male,M60-64,10:03:06,225,212,1,01:04:58,382,357,4,05:18:04,301,283,1,03:32:18,225,208,1,00:5:20,173,156,1,00:2:28,44,36,1,FIN,08:18:16,8,1
1047,Mateus Vidigal,Brazil,Male,M45-49,08:50:24,21,21,4,00:50:28,22,22,5,04:38:23,16,16,3,03:13:55,72,69,6,00:3:33,25,22,3,00:4:05,260,235,35,FIN,08:18:37,9,1
575,Frank Silvestrin,Brazil,Male,M40-44,08:37:39,9,9,2,00:50:13,18,18,2,04:37:36,14,14,3,03:01:02,15,15,3,00:3:33,24,21,3,00:5:14,440,390,101,FIN,08:21:14,10,1
498,Larissa Fabrini,Brazil,Female,F35-39,09:27:14,98,4,1,01:06:24,443,30,6,04:55:57,106,6,2,03:17:54,101,6,2,00:4:27,76,10,3,00:2:32,55,10,5,FIN,08:22:54,11,1
1269,Ivan Albano,Brazil,Male,M50-54,09:18:50,73,71,2,00:59:46,178,167,10,04:44:57,38,38,1,03:27:19,180,171,8,00:4:09,57,49,3,00:2:39,70,59,2,FIN,08:23:03,12,1
1147,Marcio Machado,Brazil,Male,M18-24,08:39:04,10,10,1,00:55:08,62,60,1,04:39:53,23,23,1,02:57:17,10,10,1,00:4:11,58,50,1,00:2:35,63,53,1,FIN,08:23:23,13,1
1410,Roberto De Lemos,Brazil,Male,M55-59,09:41:26,133,126,2,01:02:09,258,241,5,05:09:51,219,208,4,03:20:40,123,116,2,00:4:32,89,77,2,00:4:13,281,255,4,FIN,08:23:55,14,
840,Carolina Carvalho,Brazil,Female,F40-44,09:39:06,127,7,1,01:14:07,817,81,18,05:05:02,170,7,1,03:13:00,62,2,1,00:4:50,120,14,2,00:2:07,15,3,1,FIN,08:24:13,15,1
1536,Walter Tlaija De Souza,Brazil,Male,M35-39,08:30:30,5,5,1,00:57:55,110,102,24,04:32:22,9,9,2,02:55:10,7,7,2,00:2:58,5,5,2,00:2:05,13,11,5,FIN,08:25:08,16,1
1526,Felipe Dayrell,Brazil,Male,M45-49,08:58:06,32,31,5,00:48:39,10,10,1,04:54:51,95,90,12,03:02:34,19,19,2,00:7:11,426,385,74,00:4:50,383,343,58,FIN,08:25:52,17,
1401,Leo Tomaselli,Switzerland,Male,M55-59,09:43:46,146,139,3,01:07:34,497,459,15,04:58:52,126,120,2,03:25:18,164,155,3,00:7:54,523,473,15,00:4:07,266,241,2,FIN,08:25:57,18,
1254,Federico Schneeberger,Argentina,Male,M50-54,09:25:45,94,91,3,00:58:54,141,132,8,04:54:38,91,87,6,03:23:36,145,136,6,00:5:24,181,164,11,00:3:12,146,127,8,FIN,08:29:17,19,
1512,Bruno Pinheiro Manzoni,Brazil,Male,M35-39,08:35:04,7,7,2,01:00:14,197,183,52,04:32:04,8,8,1,02:56:53,8,8,3,00:3:44,33,29,11,00:2:09,20,16,7,FIN,08:29:39,20,1
1348,Gilberto Dos Santos Marcos,Brazil,Male,M50-54,09:28:47,100,96,4,00:56:40,85,82,6,05:11:03,229,217,15,03:12:36,59,58,2,00:5:59,255,233,16,00:2:29,50,41,1,FIN,08:32:01,21,
671,Brasilio Vicente Castro Neto,Brazil,Male,M40-44,08:49:57,20,20,3,00:50:19,19,19,3,04:39:24,21,21,4,03:12:54,61,60,18,00:4:14,65,57,13,00:3:05,123,107,23,FIN,08:33:09,22,1
1130,Ana Laura Canil Franzini De Almeida,Brazil,Female,F25-29,09:33:46,116,6,1,01:05:15,388,27,2,05:10:24,225,12,1,03:11:47,56,1,1,00:4:24,74,9,1,00:1:57,7,1,1,FIN,08:34:09,23,1
1317,André Coneglian Weyand,Brazil,Male,M50-54,09:32:00,112,107,5,00:56:17,83,80,5,04:54:12,85,82,5,03:27:24,182,173,9,00:10:57,898,808,87,00:3:10,135,117,5,FIN,08:34:54,24,
733,David Almeida,Brazil,Male,M40-44,08:51:48,25,25,4,00:59:52,181,170,37,04:47:22,52,51,10,02:57:13,9,9,1,00:4:47,114,101,24,00:2:33,59,49,8,FIN,08:34:56,25,1
