Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
161,Kenji Takeya,Japan,Male,M55-59,09:30:38,78,68,1,01:06:51,253,226,13,04:39:06,32,32,1,03:36:39,163,137,3,00:4:22,143,118,7,00:3:41,180,149,8,FIN,08:14:34,1,1
243,Nathan Taylor,Australia,Male,M50-54,09:13:09,56,48,1,00:58:04,69,63,3,04:46:48,51,46,2,03:22:23,82,68,2,00:2:59,42,30,1,00:2:55,90,74,2,FIN,08:17:56,2,1
965,Paul Hill,New Zealand,Male,M55-59,09:36:15,87,75,2,01:02:28,142,128,7,04:53:08,78,70,2,03:32:55,144,120,2,00:4:17,132,108,6,00:3:27,154,130,7,FIN,08:19:26,3,1
604,Clint Dow,Australia,Male,M35-39,08:26:01,13,13,1,00:56:18,50,45,3,04:29:12,18,18,1,02:54:52,10,10,1,00:3:08,48,36,1,00:2:30,45,36,4,FIN,08:20:42,4,1
261,Takeshi Tanaka,Japan,Male,M60-64,10:18:27,179,159,1,01:02:16,137,123,1,05:32:15,284,261,3,03:35:23,156,130,1,00:4:38,170,141,3,00:3:56,206,171,3,FIN,08:30:57,5,1
708,Chris Lincoln,Australia,Male,M40-44,08:49:54,26,24,1,00:59:54,103,92,8,04:42:41,39,37,4,03:00:43,18,15,2,00:4:12,123,101,14,00:2:23,38,30,5,FIN,08:33:06,6,1
605,Matt Jackson,Australia,Male,M35-39,08:40:35,17,17,2,00:54:12,39,34,2,04:34:29,23,23,2,03:06:51,32,27,4,00:3:30,67,51,2,00:1:33,1,1,1,FIN,08:35:07,7,1
162,Vincenzo Zofrea,Australia,Male,M55-59,09:54:44,130,115,3,01:00:20,108,97,2,05:03:21,121,111,3,03:44:20,198,169,6,00:3:46,86,67,3,00:2:57,96,80,3,FIN,08:35:27,8,1
220,Luke Henderson,Australia,Male,M40-44,08:55:25,30,26,2,00:56:28,51,46,2,04:36:59,27,27,3,03:15:33,55,45,3,00:2:58,39,27,2,00:3:26,152,128,23,FIN,08:38:26,9,1
229,Nathan Heaney,Australia,Male,M45-49,09:12:50,55,47,1,00:54:17,42,37,2,04:48:30,59,54,1,03:21:33,78,64,2,00:4:31,161,136,15,00:3:58,208,173,13,FIN,08:39:43,10,1
186,Max Roocke,Australia,Male,M18-24,08:55:58,31,27,1,00:58:55,84,75,8,04:49:41,65,60,2,03:01:08,20,17,1,00:3:49,91,72,3,00:2:25,41,33,1,FIN,08:39:46,11,1
343,Merle Talviste,Estonia,Female,F40-44,09:57:58,139,17,1,00:56:47,57,6,1,05:06:57,143,14,1,03:47:22,223,36,2,00:3:42,81,19,1,00:3:09,121,21,2,FIN,08:40:38,12,1
11002,Kevin Fergusson,Australia,Male,M65-69,11:29:32,360,312,1,00:59:38,98,88,1,05:43:44,370,336,1,04:38:04,503,426,2,00:3:27,62,46,1,00:4:38,275,232,1,FIN,08:40:44,13,1
173,Rachael Smyth,Ireland,Female,F30-34,09:40:13,95,13,1,01:06:22,237,26,2,05:13:05,186,18,2,03:12:25,45,8,1,00:4:11,122,22,1,00:4:10,228,38,5,FIN,08:40:51,14,1
435,Owen Sheather,Australia,Male,M25-29,08:46:22,20,19,1,00:54:04,37,32,4,04:43:18,40,38,2,03:02:31,23,20,1,00:3:08,49,37,2,00:3:21,141,117,13,FIN,08:42:12,15,1
416,Sam Askey-Doran,Australia,Male,M18-24,09:01:36,38,34,2,00:44:43,1,1,1,04:37:56,29,29,1,03:32:00,137,114,6,00:3:07,47,35,1,00:3:49,194,162,11,FIN,08:45:14,16,1
972,Keish Doi,United States,Male,M55-59,10:06:12,156,138,4,01:13:29,458,405,30,05:06:51,142,129,4,03:39:11,181,153,4,00:3:44,84,65,2,00:2:56,95,79,2,FIN,08:45:23,17,1
886,Hideaki Hoshi,Japan,Male,M50-54,09:44:14,103,90,2,01:09:48,331,294,29,05:07:48,151,137,6,03:17:59,66,55,1,00:4:08,118,97,8,00:4:31,263,221,12,FIN,08:45:55,18,1
267,Thomas Kearns,New Zealand,Male,M30-34,08:46:46,21,20,1,00:52:41,27,24,2,04:36:25,25,25,2,03:11:57,42,35,4,00:3:04,46,34,3,00:2:39,59,47,7,FIN,08:46:46,19,1
889,Ian Lack,Australia,Male,M50-54,09:46:30,108,95,3,01:02:35,145,131,6,05:13:36,190,172,8,03:23:44,89,73,4,00:3:49,92,73,6,00:2:46,70,56,1,FIN,08:47:58,20,1
245,Gene Lecuyer,Canada,Male,M50-54,09:46:39,109,96,4,01:08:02,280,249,20,05:06:35,139,127,5,03:22:33,84,70,3,00:6:29,388,329,24,00:3:00,102,85,3,FIN,08:48:06,21,1
877,Reon Park,New Zealand,Male,M50-54,09:47:11,111,98,5,00:56:15,49,44,2,04:46:45,50,45,1,03:56:07,282,239,13,00:5:03,219,186,12,00:3:01,106,89,4,FIN,08:48:34,22,1
971,Dietmar Stein,Germany,Male,M55-59,10:11:08,163,145,5,01:02:18,138,124,5,05:16:01,203,185,6,03:45:48,206,175,7,00:4:26,150,125,9,00:2:35,52,41,1,FIN,08:49:40,23,1
157,Bevan Nicholson,Australia,Male,M50-54,09:49:16,114,100,6,01:02:52,149,134,7,05:04:55,132,121,4,03:34:02,147,123,8,00:3:39,75,57,4,00:3:48,191,159,9,FIN,08:50:27,24,1
171,Grace Joel,Australia,Female,F25-29,09:53:33,124,15,1,01:01:43,124,14,1,05:25:10,251,20,1,03:19:06,68,12,1,00:3:58,97,20,1,00:3:35,168,28,7,FIN,08:51:52,25,1
1095,Thomas Cupit,New Zealand,Male,M30-34,08:52:53,29,25,2,00:59:16,90,81,16,04:45:00,45,41,4,03:00:31,17,14,1,00:5:17,242,208,40,00:2:49,77,62,9,FIN,08:52:53,26,1
125,Glenn Strutt,Australia,Male,M25-29,08:57:17,32,28,2,00:52:51,29,26,3,04:38:29,30,30,1,03:19:49,72,60,5,00:3:29,66,50,6,00:2:38,57,45,6,FIN,08:53:02,27,1
596,Sohei Arase,Japan,Male,M35-39,08:58:57,35,31,3,01:07:14,262,233,30,04:43:35,43,39,4,03:00:58,19,16,2,00:4:44,185,155,17,00:2:26,42,34,3,FIN,08:53:17,28,1
117,Kelly Miller,Australia,Female,F45-49,10:30:05,213,25,1,01:04:25,186,21,1,05:11:14,173,16,1,04:05:30,327,49,2,00:4:37,169,29,1,00:4:19,238,40,2,FIN,08:55:38,29,1
260,Mark Burke,New Zealand,Male,M60-64,10:48:19,254,227,2,01:06:02,223,198,4,05:05:32,135,124,2,04:27:50,440,374,4,00:4:40,176,147,4,00:4:15,232,193,4,FIN,08:55:38,30,1
