Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
478,Dan Plews,New Zealand,Male,M40-44,07:56:56,1,1,1,00:36:27,3,3,1,04:23:27,2,2,1,02:48:48,1,1,1,00:5:06,3,3,2,00:3:08,17,17,4,FIN,07:41:48,1,1
716,Eric Harr,United States,Male,M50-54,08:42:45,15,15,1,00:38:58,26,23,1,04:37:20,23,23,1,03:16:33,24,24,3,00:6:30,59,55,4,00:3:23,26,25,1,FIN,07:50:34,2,1
251,Martin Caron,Canada,Male,M45-49,08:29:38,7,7,1,00:41:18,105,93,10,04:31:16,9,9,2,03:07:45,12,12,1,00:6:09,40,37,4,00:3:09,18,18,1,FIN,07:59:06,3,1
2004,Raynard Picard,Mexico,Male,M40-44,08:19:28,2,2,2,00:42:28,167,144,27,04:30:20,8,8,4,02:56:00,2,2,2,00:6:32,61,57,14,00:4:08,80,74,17,FIN,08:03:38,4,1
250,Volker Fischer,United States,Male,M70-74,11:43:35,700,626,1,00:51:08,1238,1020,7,05:35:13,486,459,1,04:56:26,946,811,1,00:11:10,708,601,2,00:9:38,882,717,2,FIN,08:03:47,5,1
2109,Millard Eric,France,Male,M55-59,09:18:37,63,60,1,00:42:52,185,162,13,04:48:45,49,48,1,03:30:36,91,85,1,00:8:07,240,209,12,00:8:17,642,536,39,FIN,08:04:09,6,1
173,Kristen Yax,United States,Female,F40-44,09:17:29,60,3,1,00:46:10,505,68,9,04:54:51,83,3,1,03:23:31,53,2,1,00:8:13,257,34,4,00:4:43,139,14,2,FIN,08:05:24,7,1
246,Mark Follett,Australia,Male,M50-54,09:09:04,44,44,2,00:42:38,170,147,18,04:52:53,74,73,4,03:23:25,52,51,5,00:6:03,33,31,1,00:4:04,71,65,6,FIN,08:14:16,8,1
812,Declan Doyle,Ireland,Male,M50-54,09:09:08,45,45,3,00:43:29,235,207,26,04:59:41,106,102,9,03:14:03,20,20,2,00:8:22,273,237,24,00:3:33,33,31,2,FIN,08:14:19,9,1
309,Matthew Tatum,United States,Male,M40-44,08:32:22,9,9,3,00:39:37,40,37,6,04:29:55,7,7,3,03:13:35,19,19,3,00:6:34,66,61,16,00:2:41,4,4,2,FIN,08:16:07,10,1
1988,Dennis Woodside,United States,Male,M50-54,09:14:29,55,53,4,00:41:03,94,84,7,04:50:12,59,58,3,03:27:14,69,65,7,00:7:57,212,185,16,00:8:03,598,502,57,FIN,08:19:08,11,
2302,Jamie Woodbury,Canada,Male,M30-34,08:21:01,3,3,1,00:37:19,9,8,1,04:33:58,12,12,3,03:00:02,6,6,3,00:5:42,17,17,8,00:4:01,65,60,13,FIN,08:21:01,12,1
481,Kerry Girona,United States,Female,F35-39,09:25:37,72,4,1,00:42:27,166,23,3,05:01:51,115,6,1,03:29:32,84,6,1,00:7:44,181,25,5,00:4:02,67,6,1,FIN,08:21:28,13,1
1820,Juan Delgado Valbuena,Colombia,Male,M45-49,08:53:48,27,27,2,00:40:44,80,71,6,04:45:15,41,40,7,03:17:57,31,31,2,00:6:11,43,40,6,00:3:40,38,35,3,FIN,08:21:49,14,1
260,Ricardo Garcia,Argentina,Male,M45-49,08:54:30,29,29,3,00:39:24,34,31,4,04:42:00,33,33,6,03:23:01,50,49,3,00:5:50,21,21,3,00:4:15,89,83,11,FIN,08:22:29,15,1
2334,John Matson,United States,Male,M30-34,08:23:57,4,4,2,00:37:23,10,9,2,04:39:49,29,29,8,02:56:50,3,3,1,00:5:22,9,9,5,00:4:33,120,110,18,FIN,08:23:57,16,1
761,Eduardo Rueda,Mexico,Male,M50-54,09:19:55,65,62,5,00:45:54,465,406,44,04:59:03,103,99,8,03:21:27,43,42,4,00:8:08,244,213,20,00:5:22,223,192,20,FIN,08:24:02,17,
233,Rebekah Walker,United States,Female,F40-44,09:39:15,108,5,2,00:43:19,220,25,3,05:01:16,111,5,2,03:43:27,175,9,4,00:6:20,49,4,1,00:4:54,160,19,4,FIN,08:24:21,18,1
144,Christian Weyland,Luxembourg,Male,M45-49,08:56:36,30,30,4,00:43:14,210,186,18,04:25:47,4,4,1,03:38:13,135,127,10,00:5:36,14,14,1,00:3:45,44,41,4,FIN,08:24:27,19,
272,Chris Cartwright,Canada,Male,M30-34,08:26:39,5,5,3,00:39:54,49,44,11,04:37:30,24,24,6,02:59:37,5,5,2,00:5:31,11,11,6,00:4:06,74,68,14,FIN,08:26:39,20,1
331,Todd Robinson,United States,Male,M50-54,09:23:07,70,67,6,00:42:13,151,132,16,04:58:22,101,97,7,03:30:28,90,84,8,00:8:19,270,234,23,00:3:46,46,43,3,FIN,08:26:55,21,
1911,Lee Mount,United States,Male,M25-29,08:31:07,8,8,1,00:38:54,24,21,3,04:22:37,1,1,1,03:21:10,42,41,3,00:5:39,16,16,1,00:2:47,7,7,1,FIN,08:27:04,22,1
629,Tina Eakin,United States,Female,F50-54,10:24:30,270,16,1,00:47:19,647,90,8,05:26:56,370,18,1,03:53:43,258,17,1,00:10:05,532,76,4,00:6:27,371,49,2,FIN,08:27:24,23,1
212,Olivier Jakob,Switzerland,Male,M55-59,09:45:32,128,121,2,00:45:21,402,348,33,04:58:29,102,98,3,03:48:09,212,198,6,00:8:04,233,202,11,00:5:29,237,203,7,FIN,08:27:28,24,1
230,Guglielmo Schiavoni,Italy,Male,M30-34,08:28:47,6,6,4,00:38:12,19,17,5,04:40:02,31,31,9,03:02:26,7,7,4,00:5:31,12,12,7,00:2:36,3,3,1,FIN,08:28:47,25,
306,Sean Mahoney,United States,Male,M35-39,08:34:35,10,10,1,00:34:31,1,1,1,04:25:36,3,3,1,03:24:22,56,53,15,00:6:21,50,46,11,00:3:45,43,40,13,FIN,08:29:10,26,1
215,Murat Güney,Turkey,Male,M40-44,08:45:55,17,17,4,00:43:03,192,169,35,04:38:10,26,26,7,03:15:24,22,22,5,00:6:01,31,29,6,00:3:17,22,22,5,FIN,08:29:14,27,
424,Jonathan Whitehead,United States,Male,M60-64,10:17:23,238,225,1,00:40:10,57,52,1,05:16:20,240,228,3,04:04:25,346,317,4,00:11:00,678,576,15,00:5:28,236,202,3,FIN,08:30:04,28,1
344,Marc Morgan,United States,Male,M35-39,08:35:51,11,11,2,00:43:41,254,222,40,04:35:38,15,15,4,03:05:58,10,10,2,00:7:10,117,101,24,00:3:24,27,26,10,FIN,08:30:26,29,1
307,Ted Albertson,United States,Male,M60-64,10:18:30,241,228,2,00:45:38,430,374,17,05:21:19,301,287,6,03:58:32,305,282,2,00:7:13,123,107,1,00:5:48,281,243,4,FIN,08:31:00,30,
228,Jim Larrieu,United States,Male,M60-64,10:18:42,243,230,3,00:47:39,695,600,28,05:24:51,350,334,10,03:51:44,244,229,1,00:9:06,367,315,5,00:5:22,221,190,1,FIN,08:31:10,31,
377,Danny Dvinov,United States,Male,M40-44,08:47:56,18,18,5,00:40:16,61,56,9,04:38:59,27,27,8,03:16:47,25,25,6,00:6:33,63,58,15,00:5:22,222,191,40,FIN,08:31:11,32,
1000,Peter Dodd,Canada,Male,M55-59,09:50:18,143,136,3,00:45:00,372,322,30,04:56:32,90,87,2,03:53:26,254,238,9,00:9:16,398,343,25,00:6:04,319,279,18,FIN,08:31:36,33,1
2078,Florian Baetke,Germany,Male,M40-44,08:48:26,19,19,6,00:39:07,28,25,3,04:37:11,22,22,6,03:20:28,40,39,12,00:7:25,145,128,26,00:4:14,86,80,21,FIN,08:31:40,34,
667,Thomas Nelson,United States,Male,M40-44,08:48:42,20,20,7,00:44:42,342,296,51,04:37:09,21,21,5,03:17:02,27,27,8,00:7:04,108,94,22,00:2:45,6,6,3,FIN,08:31:56,35,
214,Ignace Deckmyn,Belgium,Male,M60-64,10:19:42,249,235,4,00:43:05,195,172,4,05:19:27,285,272,4,04:01:36,326,301,3,00:9:01,357,307,4,00:6:33,382,332,10,FIN,08:31:59,36,
150,Stephan Bole,France,Male,M55-59,09:51:39,147,140,4,00:43:17,212,188,17,05:10:44,182,173,10,03:46:02,195,183,4,00:7:38,165,143,3,00:3:58,61,57,1,FIN,08:32:46,37,
274,Eric Perry,United States,Male,M35-39,08:38:33,12,12,3,00:39:16,32,29,6,04:43:08,36,36,7,03:07:29,11,11,3,00:5:38,15,15,4,00:3:02,12,12,3,FIN,08:33:06,38,1
170,Craig Taylor,United States,Male,M35-39,08:38:51,13,13,4,00:37:26,11,10,4,04:34:31,14,14,3,03:18:27,33,33,8,00:5:21,7,7,2,00:3:05,14,14,5,FIN,08:33:24,39,
626,Alain Perroteau,France,Male,M60-64,10:21:50,255,240,5,00:47:17,639,552,24,04:51:55,71,70,1,04:27:47,595,523,12,00:7:51,194,167,2,00:7:00,441,380,12,FIN,08:33:45,40,
543,William Valenti,United States,Male,M50-54,09:31:10,86,82,7,00:39:35,37,34,2,05:08:40,163,155,18,03:32:19,102,96,10,00:6:17,47,44,2,00:4:19,97,89,8,FIN,08:34:09,41,
470,Luis Benitez,Mexico,Male,M25-29,08:40:14,14,14,2,00:45:58,475,414,40,04:39:23,28,28,2,03:04:04,9,9,1,00:6:30,58,54,5,00:4:18,95,88,7,FIN,08:36:07,42,1
291,Ryan Seguine,United States,Male,M40-44,08:53:49,28,28,8,00:41:45,122,107,17,04:43:19,37,37,9,03:17:33,30,30,11,00:7:02,103,89,20,00:4:10,82,76,19,FIN,08:36:53,43,
1893,Alfredo Aguado,United States,Male,M65-69,11:24:48,574,517,1,00:47:48,718,615,5,05:53:26,746,680,3,04:25:37,557,491,1,00:10:49,649,555,3,00:7:08,461,396,1,FIN,08:37:09,44,1
682,Olaf Schenk,Germany,Male,M55-59,09:57:37,168,159,5,00:43:34,241,213,19,05:14:04,221,209,13,03:48:00,210,196,5,00:7:04,107,93,1,00:4:53,155,138,2,FIN,08:37:57,45,
300,Renee Swinson,United States,Female,F45-49,10:11:35,215,10,1,00:44:16,302,43,1,05:08:32,160,7,1,04:08:05,387,36,3,00:5:58,28,2,1,00:4:43,138,13,1,FIN,08:39:54,46,1
256,Brian Scharkey,United States,Male,M60-64,10:30:18,285,268,6,00:43:28,232,205,7,05:22:41,319,303,7,04:06:57,378,344,5,00:9:39,462,393,8,00:7:33,521,441,14,FIN,08:40:45,47,
1717,Melanie Van Soeren,Canada,Female,F30-34,09:41:18,114,6,1,00:44:46,347,48,10,05:21:09,300,14,1,03:18:58,36,1,1,00:8:27,280,39,6,00:7:58,587,92,17,FIN,08:41:49,48,1
201,Paul Henry,United States,Male,M50-54,09:40:12,110,105,8,00:46:08,496,430,47,05:08:15,155,149,16,03:31:27,95,89,9,00:9:45,482,410,46,00:4:37,131,120,12,FIN,08:42:17,49,
321,Chris Lamneck,United States,Male,M50-54,09:41:27,116,110,9,00:44:49,352,304,36,05:07:19,145,139,13,03:36:03,122,115,12,00:6:28,55,51,3,00:6:48,414,359,37,FIN,08:43:25,50,
2107,Emmanuel Lopez,United States,Male,M35-39,08:49:00,21,21,5,00:45:18,400,346,62,04:50:28,62,61,15,03:02:56,8,8,1,00:7:07,113,98,23,00:3:11,19,19,7,FIN,08:43:26,51,
210,Zach Aldrich,United States,Male,M30-34,08:43:38,16,16,5,00:38:49,23,20,7,04:42:19,35,35,10,03:13:25,18,18,7,00:5:17,5,5,3,00:3:47,48,45,8,FIN,08:43:38,52,
2345,Andy Williams,United States,Male,M35-39,08:49:22,22,22,6,00:36:35,4,4,2,04:47:55,47,46,10,03:15:28,23,23,6,00:5:59,29,27,7,00:3:25,28,27,11,FIN,08:43:48,53,
2000,Rob Boyce,United States,Male,M55-59,10:04:54,191,182,6,00:47:21,650,560,52,05:11:50,196,186,12,03:52:12,248,232,8,00:8:37,292,251,15,00:4:54,157,139,3,FIN,08:44:16,54,
2239,Brian Winco,United States,Male,M50-54,09:43:08,120,114,10,00:46:06,493,427,46,05:17:29,256,243,31,03:25:11,57,54,6,00:8:19,268,232,22,00:6:03,314,274,26,FIN,08:44:56,55,
350,John Renken,United States,Male,M55-59,10:05:50,196,187,7,00:44:49,353,305,28,05:15:36,233,221,15,03:45:30,192,180,3,00:11:59,865,728,63,00:7:55,576,485,35,FIN,08:45:04,56,
337,Marshall Kronewitt,Canada,Female,M50-54,09:43:33,121,7,11,00:41:12,101,11,8,05:11:47,195,10,23,03:37:04,125,8,13,00:9:28,430,63,40,00:4:01,64,5,4,FIN,08:45:18,57,
1185,Brenda Nguyen,United States,Female,F50-54,10:47:52,370,25,2,00:51:04,1232,216,24,05:34:17,470,27,2,04:09:26,398,38,2,00:7:41,173,23,1,00:5:25,230,33,1,FIN,08:46:23,58,1
1686,Blaine Egan,United States,Male,M40-44,09:03:38,37,37,9,00:40:35,74,67,14,04:50:03,58,57,12,03:21:35,44,43,13,00:6:26,54,50,12,00:4:58,167,148,33,FIN,08:46:24,59,
1989,Mihai Vigariu,Romania,Male,M35-39,08:52:19,25,25,7,00:40:36,76,68,11,04:33:59,13,13,2,03:28:21,74,69,19,00:6:29,57,53,14,00:2:54,9,9,1,FIN,08:46:43,60,
780,Xavier Padrosa,Spain,Male,M35-39,08:52:21,26,26,8,00:39:46,46,41,7,04:51:21,69,68,19,03:08:50,13,13,4,00:7:24,144,127,31,00:5:00,172,153,37,FIN,08:46:45,61,
1947,Jim Huchingson,United States,Male,M50-54,09:45:21,127,120,12,00:43:19,217,193,24,05:07:07,143,137,12,03:41:29,155,147,15,00:8:49,327,283,32,00:4:37,129,119,11,FIN,08:46:55,62,
332,James Scanlan,United States,Male,M50-54,09:45:35,130,123,13,00:52:25,1422,1160,167,05:13:14,214,202,26,03:13:25,17,17,1,00:15:36,1527,1217,173,00:10:55,1157,910,119,FIN,08:47:08,63,
290,Ralph Tan,United States,Male,M45-49,09:20:57,67,64,5,00:44:29,321,276,34,04:52:15,72,71,12,03:31:35,96,90,5,00:7:28,152,134,21,00:5:10,197,171,26,FIN,08:47:20,64,
479,Cortney Weintz,United States,Male,M18-24,09:04:44,39,39,1,00:45:46,447,388,14,04:41:54,32,32,1,03:28:22,75,70,4,00:6:13,45,42,1,00:2:29,2,2,1,FIN,08:48:16,65,1
867,Tarik Arcoverde Ribeiro Costa,Brazil,Male,M45-49,09:22:16,68,65,6,00:35:51,2,2,1,04:50:18,60,59,11,03:43:53,181,172,20,00:8:00,222,192,30,00:4:14,87,81,9,FIN,08:48:35,66,
