Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
591,Wolfgang Schmatz,Germany,Male,M60-64,09:27:55,185,181,1,01:01:13,178,164,1,04:44:56,196,195,1,03:34:07,385,365,1,00:4:11,155,139,1,00:3:28,486,413,4,FIN,07:49:12,1,1
172,Stephen Derrett,United Kingdom,Male,M30-34,07:54:50,1,1,1,00:51:07,9,9,4,04:19:49,11,11,6,02:39:04,1,1,1,00:3:27,45,41,8,00:1:24,3,3,1,FIN,07:54:50,2,1
1965,Jan Steur,Netherlands,Male,M65-69,10:33:34,748,697,1,01:15:45,1267,1121,4,05:11:18,711,682,1,03:54:53,815,741,1,00:6:45,908,783,2,00:4:53,1115,973,3,FIN,07:58:28,3,1
25,Alexander Milne,United Kingdom,Male,M18-24,08:14:03,4,4,1,00:53:57,34,33,6,04:22:21,19,19,3,02:52:55,9,9,2,00:3:07,20,19,4,00:1:43,18,16,3,FIN,07:59:07,4,1
51,Olaf Van Den Bergh,Netherlands,Male,M30-34,07:59:41,2,2,2,00:59:21,122,113,23,04:13:21,3,3,1,02:40:48,2,2,2,00:4:21,188,165,30,00:1:50,35,32,9,FIN,07:59:41,5,1
389,Corentin Flochlay,France,Male,M18-24,08:15:44,5,5,2,00:54:56,42,40,8,04:18:35,8,8,1,02:56:23,18,18,4,00:3:17,30,28,6,00:2:33,169,142,24,FIN,08:00:45,6,1
687,John Enevoldsen,Denmark,Male,M50-54,08:54:17,63,63,1,00:55:00,43,41,2,04:35:53,88,88,3,03:16:08,127,122,4,00:4:39,259,224,13,00:2:38,194,163,9,FIN,08:00:57,7,1
651,Alexander Jones,United Kingdom,Male,M30-34,08:03:08,3,3,3,00:50:55,8,8,3,04:14:58,5,5,2,02:51:58,7,7,4,00:3:30,49,44,10,00:1:47,28,26,6,FIN,08:03:08,8,1
857,Hagay Anaby,Israel,Male,M55-59,09:17:56,136,135,1,01:03:07,278,256,5,04:38:31,117,117,2,03:27:18,252,244,2,00:4:26,205,178,6,00:4:34,963,838,44,FIN,08:03:33,9,1
960,Fabrice Cuipers,Belgium,Male,M50-54,08:57:12,74,74,2,00:57:48,90,84,5,04:35:10,87,87,2,03:12:27,88,87,3,00:4:47,299,258,18,00:6:59,1756,1503,180,FIN,08:03:35,10,1
68,Jacob Lind Knudsen,Denmark,Male,M18-24,08:21:56,9,9,3,01:04:55,373,346,45,04:20:50,13,13,2,02:50:47,6,6,1,00:3:24,38,36,7,00:2:01,52,47,8,FIN,08:06:46,11,1
977,Arno Meeusen,Belgium,Male,M18-24,08:23:03,13,13,4,00:54:14,37,36,7,04:28:15,37,37,8,02:54:02,14,14,3,00:4:30,220,192,28,00:2:02,53,48,9,FIN,08:07:51,12,
318,Christian Jais,Germany,Male,M45-49,08:39:56,27,27,1,00:56:04,56,54,4,04:36:31,95,95,5,03:00:50,31,30,1,00:4:27,213,186,22,00:2:05,66,58,4,FIN,08:08:47,13,1
1619,Erik Thijs,Belgium,Male,M60-64,09:52:54,375,365,2,01:03:44,304,282,4,04:45:29,204,203,2,03:55:25,831,756,5,00:5:15,423,369,4,00:3:01,306,257,1,FIN,08:09:51,14,
1725,Bert Verbeke,Belgium,Male,M45-49,08:41:45,31,31,2,00:53:25,27,27,3,04:29:37,47,47,1,03:13:25,99,96,6,00:3:02,12,12,3,00:2:16,99,87,9,FIN,08:10:29,15,1
1823,Camilla Lykke,Denmark,Female,F30-34,09:06:54,98,1,1,01:09:19,661,65,22,04:49:47,272,2,1,03:00:41,30,1,1,00:4:37,251,34,12,00:2:30,157,26,3,FIN,08:10:57,16,1
1798,Audun Berg,Norway,Male,M50-54,09:06:00,97,97,3,01:01:41,200,184,10,04:40:43,152,152,5,03:16:24,128,123,5,00:4:18,180,159,8,00:2:53,266,223,15,FIN,08:11:30,17,1
47,Christiaan Zandbergen,Netherlands,Male,M40-44,08:28:39,17,17,1,00:56:56,70,66,7,04:32:21,61,61,7,02:54:12,15,15,2,00:3:04,16,15,2,00:2:06,70,61,9,FIN,08:12:31,18,1
49,Lars Dyrholm,Denmark,Male,M40-44,08:28:52,18,18,2,00:53:14,25,25,3,04:21:17,15,15,4,03:09:16,68,67,11,00:2:33,1,1,1,00:2:31,161,135,17,FIN,08:12:44,19,1
76,Niklas Löbner,Germany,Male,M25-29,08:17:36,6,6,1,00:53:44,29,29,8,04:12:04,2,2,2,03:05:23,53,52,11,00:3:10,25,23,8,00:3:15,392,329,65,FIN,08:13:40,20,1
663,Lucas Herzog,France,Male,M25-29,08:19:24,7,7,2,01:05:21,396,369,77,04:25:22,27,27,6,02:41:57,3,3,1,00:4:38,254,219,43,00:2:05,65,57,14,FIN,08:15:27,21,1
913,Edwige Van Haasteren,Netherlands,Female,F60-64,11:27:14,1268,123,1,01:09:48,714,72,1,05:35:25,1270,98,1,04:27:45,1492,179,1,00:8:03,1312,210,3,00:6:13,1563,226,5,FIN,08:16:02,22,1
1739,Dennis Steffensen,Denmark,Male,M40-44,08:33:16,21,21,3,01:05:04,380,353,38,04:14:49,4,4,1,03:03:39,40,39,8,00:5:40,564,490,62,00:4:05,751,651,81,FIN,08:16:59,23,1
1921,Lars Thomsen,Denmark,Male,M55-59,09:33:35,212,207,2,01:17:11,1419,1248,69,04:56:49,385,380,13,03:10:15,78,77,1,00:5:56,638,547,23,00:3:24,450,382,14,FIN,08:17:07,24,1
80,Juha Lindfors,Finland,Male,M45-49,08:49:42,45,45,3,00:48:02,2,2,1,04:29:40,48,48,2,03:26:10,237,229,17,00:3:36,67,62,7,00:2:15,94,82,8,FIN,08:17:58,25,1
1465,Sion Slyman,United Kingdom,Male,M40-44,08:34:18,23,23,4,00:56:16,61,59,6,04:18:11,7,7,2,03:13:54,107,104,14,00:3:31,55,50,6,00:2:26,139,118,15,FIN,08:17:59,26,1
952,Andrew Luke,United Kingdom,Male,M50-54,09:13:25,122,121,4,00:55:15,45,43,3,04:47:18,231,230,11,03:21:49,179,173,9,00:3:38,72,66,2,00:5:24,1292,1119,124,FIN,08:18:11,27,1
2406,Andreas Bonnichsen,Denmark,Male,M25-29,08:22:12,10,10,3,00:52:27,17,17,6,04:24:50,23,23,5,02:59:53,28,28,5,00:3:03,14,14,3,00:1:59,48,43,9,FIN,08:18:13,28,1
575,Carl Bastian Hauskov Nielsen,Denmark,Male,M25-29,08:22:42,12,12,4,00:56:08,58,56,13,04:28:27,38,38,9,02:53:02,10,10,3,00:2:57,8,8,2,00:2:08,77,68,15,FIN,08:18:43,29,1
2082,Ricardo Marquez Monzo,Spain,Male,M30-34,08:20:06,8,8,4,00:53:48,33,32,8,04:27:26,35,35,15,02:53:11,11,11,5,00:3:25,41,39,7,00:2:16,98,86,21,FIN,08:20:06,30,1
694,Frode Jermstad,Norway,Male,M50-54,09:16:25,131,130,5,01:00:51,163,149,7,04:51:18,296,293,21,03:18:14,147,142,7,00:3:38,73,67,3,00:2:24,128,108,6,FIN,08:20:53,31,
113,Matthias Aust,Germany,Male,M50-54,09:16:35,132,131,6,01:16:22,1322,1166,117,04:42:14,161,161,6,03:09:46,74,73,1,00:4:46,290,249,16,00:3:26,465,396,35,FIN,08:21:02,32,
