Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
608,Gennaro Magliulo,United States,Male,M80-84,14:10:07,1261,1040,1,01:45:27,1778,1442,1,06:12:54,1016,874,1,05:42:00,1237,1013,1,00:18:21,1735,1383,1,00:11:24,1549,1234,2,FIN,07:52:14,1,
279,Eric Roy,Canada,Male,M50-54,08:48:32,38,34,1,01:00:22,106,88,4,04:35:07,67,61,1,03:04:14,36,33,1,00:5:30,124,97,3,00:3:20,204,163,18,FIN,07:55:47,2,1
1177,Leslie Knibb,United States,Female,F60-64,11:13:33,416,60,1,01:04:19,182,29,1,05:23:27,433,52,1,04:31:07,573,98,2,00:8:12,445,71,2,00:6:28,719,132,7,FIN,08:06:10,3,1
874,Kirsten Schut,United States,Female,F35-39,09:09:48,79,11,1,01:07:29,285,47,8,04:43:43,115,14,1,03:09:19,52,10,1,00:6:36,255,44,5,00:2:41,91,25,3,FIN,08:07:27,4,1
439,John Thelwell,United Kingdom,Male,M35-39,08:17:08,18,18,1,00:57:58,66,59,4,04:11:16,11,11,1,02:59:34,25,23,1,00:5:24,111,87,11,00:2:56,130,99,19,FIN,08:11:54,5,1
629,Steve Kester,United States,Male,M60-64,09:56:25,184,157,1,01:01:35,121,101,1,04:52:59,191,166,2,03:50:55,261,217,1,00:7:00,311,263,4,00:3:55,300,243,6,FIN,08:12:45,6,1
2070,Jose Graca,Brazil,Male,M45-49,08:45:12,33,30,1,00:59:59,99,83,3,04:33:45,60,54,1,03:03:07,32,30,1,00:5:55,166,133,7,00:2:26,59,42,1,FIN,08:13:44,7,1
246,Todd Giardinelli,United States,Male,M50-54,09:13:53,85,73,2,00:57:22,56,50,1,04:42:14,109,97,4,03:26:13,120,99,4,00:4:53,68,51,1,00:3:10,176,136,16,FIN,08:18:36,8,1
204,Laura Heinonen,Finland,Female,F35-39,09:23:08,101,16,2,01:06:12,233,40,6,04:46:44,137,19,2,03:21:51,98,16,3,00:5:24,114,25,2,00:2:57,132,32,5,FIN,08:19:16,9,1
359,Arthur Halttunen,United States,Male,M70-74,12:10:53,638,545,1,01:06:27,246,203,1,05:51:59,750,663,2,04:57:39,829,682,2,00:10:57,891,724,3,00:3:52,288,231,1,FIN,08:22:33,10,1
330,Bryan Mooney,United States,Male,M25-29,08:27:28,23,22,1,00:57:55,65,58,4,04:37:36,85,75,4,02:44:54,6,6,1,00:4:26,42,31,1,00:2:38,84,62,2,FIN,08:23:27,11,1
1382,Jenni Paglia,Italy,Female,F35-39,09:29:20,113,17,3,01:05:58,227,38,5,04:55:06,201,26,4,03:19:46,90,15,2,00:6:18,216,40,4,00:2:12,38,13,1,FIN,08:24:46,12,1
203,Rich Bruce,United Kingdom,Male,M45-49,08:57:46,58,49,2,00:58:14,70,63,1,04:34:18,65,59,3,03:16:36,74,63,3,00:5:42,142,113,6,00:2:55,127,96,6,FIN,08:25:33,13,1
327,Ellen Camp,United States,Female,F65-69,12:21:07,703,104,1,01:30:21,1373,238,2,06:10:40,987,138,1,04:25:19,524,90,1,00:11:26,965,184,3,00:3:22,213,43,1,FIN,08:26:02,14,1
969,Julie Kaczor,United States,Female,F60-64,11:44:51,524,75,2,01:30:00,1350,233,7,05:40:58,617,70,3,04:20:59,491,82,1,00:7:54,402,61,1,00:5:01,454,84,2,FIN,08:28:45,15,1
1446,Anthony Philippe,France,Male,M50-54,09:25:17,107,91,3,01:04:54,196,166,14,04:47:27,143,124,7,03:24:03,111,92,3,00:6:14,215,176,12,00:2:40,88,65,6,FIN,08:28:52,16,1
1342,Frank Goulard,United States,Male,M70-74,12:21:08,704,600,2,01:16:52,632,534,2,05:43:24,645,568,1,05:04:59,909,751,4,00:9:34,655,542,1,00:6:19,695,568,5,FIN,08:29:36,17,
274,Juan Valencia,Colombia,Male,M40-44,08:47:00,35,32,1,01:00:47,113,94,12,04:34:48,66,60,9,03:02:47,31,29,2,00:5:53,160,128,24,00:2:44,97,72,7,FIN,08:30:17,18,1
254,Paul Strong,United States,Male,M60-64,10:18:27,246,210,2,01:02:13,129,109,2,05:02:32,264,235,3,04:04:31,358,297,2,00:6:04,187,151,2,00:3:08,163,125,2,FIN,08:30:57,19,
873,Mark Pellew,South Africa,Male,M45-49,09:04:04,64,54,3,01:00:57,119,99,6,04:43:22,112,100,6,03:10:41,57,47,2,00:6:14,214,175,14,00:2:51,113,85,5,FIN,08:31:28,20,1
1674,Parker Kerth,United States,Male,M18-24,08:47:38,37,33,1,01:04:23,187,158,12,04:25:52,38,35,2,03:08:33,50,41,3,00:6:02,183,148,11,00:2:47,103,76,4,FIN,08:31:41,21,1
807,Ludovic YONNET,France,Male,M40-44,08:49:45,42,37,2,01:04:48,193,163,23,04:28:16,43,39,4,03:07:51,46,38,4,00:6:08,202,163,27,00:2:42,93,68,5,FIN,08:32:57,22,1
228,Sebastien Sahyoun,Morocco,Male,M40-44,08:50:56,43,38,3,00:58:24,71,64,10,04:32:09,51,47,6,03:10:27,56,46,5,00:6:55,293,246,42,00:3:00,139,104,13,FIN,08:34:06,23,1
1328,Alberto Fazi,Italy,Male,M55-59,09:55:03,178,151,1,01:08:18,303,253,15,04:57:52,228,201,5,03:37:46,194,158,2,00:8:17,462,386,19,00:2:50,112,84,2,FIN,08:35:43,24,1
1778,Daniel Da Gama Guimarães Ramalho,Brazil,Male,M40-44,08:52:57,47,40,4,00:56:05,48,45,6,04:37:03,81,72,13,03:11:37,64,54,8,00:5:07,82,63,13,00:3:05,151,116,17,FIN,08:36:03,25,
784,Christoph Beumelburg,Germany,Male,M55-59,09:55:27,180,153,2,01:05:50,223,186,12,04:47:42,145,126,1,03:51:15,263,218,7,00:6:12,211,172,4,00:4:28,373,306,12,FIN,08:36:04,26,1
454,Dion Leman,United States,Male,M55-59,09:58:15,189,161,3,01:05:09,202,170,10,05:09:40,305,272,14,03:29:31,143,120,1,00:8:01,417,353,16,00:5:54,601,491,27,FIN,08:38:30,27,
207,Peter Hobmair,Germany,Male,M55-59,09:58:27,190,162,4,01:09:08,340,287,19,04:49:54,162,142,3,03:49:00,250,207,4,00:6:11,209,170,3,00:4:15,346,281,9,FIN,08:38:40,28,
185,Luiz Pereda,Brazil,Male,M40-44,08:55:40,51,42,5,00:54:58,37,36,4,04:36:22,74,66,11,03:15:48,73,62,12,00:5:39,138,110,21,00:2:53,122,93,11,FIN,08:38:41,29,
1642,Alan Kenny,Ireland,Male,M40-44,08:55:56,52,43,6,01:07:25,281,235,34,04:36:52,80,71,12,03:02:22,30,28,1,00:6:04,190,154,25,00:3:12,181,141,20,FIN,08:38:56,30,
358,Arto Sorvoja,Finland,Male,M40-44,08:56:01,53,44,7,01:12:44,472,402,51,04:24:12,31,29,2,03:11:21,62,52,7,00:4:35,53,38,2,00:3:09,171,132,19,FIN,08:39:01,31,
1599,Eduardo Chipoco,Peru,Male,M65-69,11:27:33,456,392,1,01:16:54,634,536,7,05:29:54,504,443,2,04:19:05,477,399,1,00:11:13,935,762,10,00:10:27,1429,1135,19,FIN,08:39:14,32,1
1979,Tim Starets,United States,Male,M50-54,09:37:31,133,113,4,01:05:37,217,182,16,04:50:02,163,143,8,03:33:01,161,137,12,00:6:00,179,144,8,00:2:52,121,92,9,FIN,08:39:52,33,
2020,Steven Lowenthal,Guatemala,Male,M35-39,08:45:55,34,31,2,00:57:48,63,57,3,04:38:13,89,79,13,03:01:28,28,26,4,00:5:11,90,71,6,00:3:16,193,153,27,FIN,08:40:23,34,1
1997,Dan Arlandson,United States,Male,M45-49,09:13:50,84,72,4,01:00:36,110,91,4,04:39:35,95,83,4,03:23:52,110,91,7,00:5:38,135,107,4,00:4:10,338,274,29,FIN,08:40:39,35,
755,Magnus Vestergaard,Denmark,Male,M18-24,08:57:23,56,47,2,01:13:59,524,442,30,04:24:51,35,33,1,03:10:16,55,45,4,00:5:27,118,93,6,00:2:49,108,81,5,FIN,08:41:09,36,
680,Michael Goentgens,Germany,Male,M40-44,08:58:13,61,51,8,01:04:21,183,154,22,04:33:48,61,55,8,03:12:27,68,57,9,00:4:53,65,48,7,00:2:44,98,73,8,FIN,08:41:09,37,
