Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
1178,Wilhelm Schweiger,Germany,Male,M65-69,10:06:44,478,467,1,01:18:56,1078,975,3,04:57:26,440,437,1,03:39:52,506,486,1,00:5:44,452,419,1,00:4:46,663,616,2,FIN,07:38:12,1,1
2598,Alexander Lang,Germany,Male,M55-59,09:12:06,147,147,1,01:09:03,506,473,20,04:37:45,129,129,1,03:18:04,186,183,3,00:3:54,83,83,1,00:3:20,214,205,4,FIN,07:58:30,2,1
1109,Michiel Stockman,Belgium,Male,M25-29,08:05:02,34,34,1,01:02:22,224,215,17,04:16:02,50,50,1,02:40:47,11,11,1,00:3:50,76,76,5,00:2:01,6,6,1,FIN,08:01:12,3,1
881,Peter Kornelsen,Canada,Male,M65-69,10:39:36,765,735,2,01:07:43,432,406,1,05:14:07,824,801,2,04:04:31,975,916,3,00:7:56,1146,1047,4,00:5:21,883,821,5,FIN,08:03:01,4,1
317,Phillip Becker,Germany,Male,M50-54,08:57:41,101,101,1,01:05:14,331,316,13,04:27:46,74,74,1,03:17:36,182,179,3,00:4:20,137,133,2,00:2:46,91,89,2,FIN,08:04:01,5,1
280,Paul Lunn,United Kingdom,Male,M50-54,09:05:03,127,127,2,01:05:27,340,323,15,04:30:07,85,85,2,03:22:25,231,227,7,00:4:07,109,108,1,00:2:57,129,124,5,FIN,08:10:39,6,1
2137,Lars Wichert,Germany,Male,M35-39,08:16:17,44,44,1,01:02:43,235,225,31,04:11:14,38,38,1,02:55:40,45,45,3,00:4:13,119,118,11,00:2:25,41,40,3,FIN,08:11:04,7,1
1190,Wolfgang Teuchner,Germany,Male,M40-44,08:27:13,51,51,1,00:59:44,148,144,12,04:14:02,47,47,1,03:06:22,88,87,7,00:3:46,73,73,3,00:3:19,204,196,23,FIN,08:11:08,8,1
329,Julien Déom,Belgium,Male,M40-44,08:28:03,54,54,2,00:55:39,99,98,5,04:28:45,79,79,4,02:57:31,55,55,2,00:3:34,58,58,2,00:2:34,58,57,4,FIN,08:11:56,9,1
2144,Julian Phillip Becker,Germany,Male,M18-24,08:27:52,53,53,1,00:51:07,56,56,2,04:23:18,60,60,1,03:06:27,89,88,3,00:3:54,82,82,1,00:3:07,162,155,6,FIN,08:12:31,10,1
2549,Katja Kessler,Germany,Female,F60-64,11:27:41,1188,72,1,01:13:00,726,52,1,05:49:18,1586,101,1,04:13:11,1144,79,1,00:7:15,950,82,1,00:4:56,730,53,1,FIN,08:16:22,11,1
1136,Marie Tertsch,Germany,Female,F18-24,09:44:03,307,3,1,01:00:46,186,6,1,04:57:21,437,3,1,03:38:39,484,19,2,00:4:25,145,5,1,00:2:52,106,3,1,FIN,08:20:21,12,1
237,Marius Lau,Germany,Male,M25-29,08:25:41,49,49,2,00:53:54,86,86,4,04:23:36,61,61,2,03:01:40,70,70,5,00:3:45,72,72,4,00:2:47,94,92,7,FIN,08:21:41,13,1
298,Livia Eggler,Switzerland,Female,F30-34,09:19:41,176,1,1,01:07:19,413,25,7,04:59:03,478,4,1,03:06:15,86,1,1,00:4:19,131,3,2,00:2:45,84,2,1,FIN,08:22:25,14,1
1597,Achim Borgmann,Germany,Male,M50-54,09:18:55,172,172,3,01:11:48,656,611,40,04:39:25,146,146,4,03:17:22,179,176,2,00:6:09,590,553,43,00:4:10,461,432,33,FIN,08:23:08,15,1
1390,Paolo Massarenti,Italy,Male,M55-59,09:40:41,280,278,2,01:22:09,1295,1169,60,04:57:51,450,447,14,03:10:54,119,117,1,00:6:37,736,684,30,00:3:09,164,157,2,FIN,08:23:16,16,1
322,Karol Bogus,Poland,Male,M40-44,08:40:03,69,69,3,01:07:58,444,417,68,04:26:15,66,66,2,02:58:09,57,57,3,00:4:54,226,212,30,00:2:47,95,93,8,FIN,08:23:33,17,1
1954,Josef Diepold,Germany,Male,M60-64,10:10:26,507,493,1,01:16:37,944,864,8,04:49:38,294,294,1,03:54:25,761,726,6,00:5:19,339,318,2,00:4:28,552,514,4,FIN,08:24:20,18,1
270,Bruno Khouri,Brazil,Male,M45-49,08:58:13,104,104,1,00:55:55,103,102,4,04:31:31,99,99,3,03:22:26,232,228,18,00:5:16,320,300,22,00:3:05,153,146,7,FIN,08:25:58,19,1
1956,Frank Bareuther,Germany,Male,M60-64,10:13:12,522,508,2,01:15:04,847,787,7,05:03:47,584,577,6,03:40:28,519,498,1,00:8:00,1176,1071,20,00:5:52,1063,986,22,FIN,08:26:37,20,1
2399,Martin Kodewitz,Germany,Male,M30-34,08:26:43,50,50,1,01:12:51,718,667,125,04:16:20,52,52,1,02:50:53,29,29,3,00:4:05,104,104,10,00:2:33,54,53,9,FIN,08:26:43,21,1
253,Peter Hobmair,Germany,Male,M55-59,09:45:59,319,316,3,01:14:49,836,777,38,04:42:39,186,186,3,03:39:29,498,479,9,00:5:33,402,376,11,00:3:28,246,235,6,FIN,08:27:52,22,1
300,Azat Mulyukov,Kyrgyzstan,Male,M60-64,10:15:07,545,531,3,01:12:59,724,673,4,05:06:49,651,641,8,03:41:01,529,505,2,00:7:37,1048,954,16,00:6:41,1355,1242,33,FIN,08:28:12,23,1
2512,Hans Peter Wolff,Germany,Male,M55-59,09:47:12,323,320,4,01:05:02,321,306,8,04:51:22,329,328,9,03:40:16,514,494,10,00:5:42,442,410,13,00:4:50,690,640,32,FIN,08:28:55,24,1
395,Anke Werner,Germany,Female,F50-54,10:26:26,638,20,1,01:21:40,1264,124,12,05:11:24,767,16,1,03:43:37,575,26,2,00:5:52,507,36,1,00:3:53,377,24,1,FIN,08:28:58,25,1
451,Allan Jakobsen,Denmark,Male,M50-54,09:25:37,203,202,4,01:00:12,158,153,4,04:48:27,276,276,10,03:24:06,258,253,11,00:7:54,1135,1036,113,00:4:58,739,686,65,FIN,08:29:10,26,1
