Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
695,Sang Whan Oh,Korea,Male,M50-54,09:28:38,5,5,1,01:34:15,571,531,132,04:30:57,4,3,1,03:15:16,5,5,1,00:4:38,82,72,12,00:3:32,27,26,4,FIN,08:31:53,1,1
154,Qisheng Li,China,Male,M30-34,08:41:39,1,1,1,01:06:05,8,7,1,04:30:12,3,2,1,03:01:16,1,1,1,00:2:58,14,14,2,00:1:09,1,1,1,FIN,08:41:39,2,1
109,Mekyoung Bae,Korea,Female,F60-64,12:09:30,203,13,1,01:31:42,496,31,1,06:09:38,330,20,1,04:16:45,167,17,1,00:5:48,159,15,1,00:5:37,155,16,1,FIN,08:46:33,3,1
1019,Junghyun Cho,Korea,Male,M60-64,10:38:48,36,35,1,01:22:37,236,224,10,05:19:17,43,41,2,03:48:37,54,50,3,00:4:36,80,70,1,00:3:40,34,31,1,FIN,08:47:46,4,1
703,Sun Hyunsoo,Korea,Male,M50-54,09:53:25,11,11,2,01:15:05,78,75,13,04:57:26,14,13,3,03:34:00,14,14,2,00:3:48,39,35,1,00:3:05,14,13,2,FIN,08:54:11,5,1
180,Artem Mosalev,Uzbekistan,Male,M35-39,09:10:44,2,2,1,01:08:49,16,14,3,04:46:35,6,5,1,03:08:29,2,2,1,00:2:55,13,13,3,00:3:57,50,46,8,FIN,09:04:57,6,1
361,Younghwan Oh,Korea,Male,M40-44,09:23:24,3,3,1,01:07:54,11,10,5,04:45:34,5,4,2,03:24:40,10,10,4,00:2:21,1,1,1,00:2:55,8,7,3,FIN,09:05:32,7,1
324,Debin Liu,China,Male,M40-44,09:27:59,4,4,2,01:14:37,67,64,16,04:57:18,13,12,4,03:10:53,3,3,1,00:2:54,10,10,2,00:2:17,3,3,1,FIN,09:09:58,8,1
429,Qi Dang,China,Male,M45-49,09:50:42,10,10,1,00:58:49,1,1,1,04:58:10,15,14,1,03:47:24,46,43,11,00:2:54,11,11,4,00:3:25,22,21,3,FIN,09:15:19,9,1
958,Kangsub Song,Korea,Male,M55-59,10:42:03,40,39,1,01:27:11,370,349,30,05:29:00,80,78,2,03:32:21,13,13,1,00:8:28,413,376,37,00:5:02,112,102,4,FIN,09:16:27,10,1
1064,Kugcheol Lee,Korea,Male,M60-64,11:16:34,91,87,2,01:39:17,708,647,34,05:10:40,29,28,1,04:16:11,164,148,7,00:4:55,99,89,3,00:5:31,139,125,5,FIN,09:18:58,11,
817,Changbum Han,Korea,Male,M50-54,10:27:26,27,27,3,01:28:35,402,376,83,05:06:16,19,18,4,03:44:12,35,33,4,00:5:01,105,95,17,00:3:21,21,20,3,FIN,09:24:48,12,
902,Wonhan Song,Korea,Male,M55-59,10:53:27,55,53,2,01:17:55,124,119,10,05:44:16,150,143,9,03:41:10,26,25,2,00:6:14,198,177,12,00:3:52,43,39,2,FIN,09:26:20,13,
227,Alexander Bogdanov,Spain,Male,M35-39,09:33:09,6,6,2,01:08:24,12,11,1,04:54:39,9,8,3,03:25:13,11,11,2,00:2:28,3,3,2,00:2:26,4,4,2,FIN,09:27:07,14,
317,Seungju Kim,Korea,Male,M40-44,09:45:55,8,8,3,01:14:32,65,62,15,05:05:34,17,16,6,03:18:32,6,6,2,00:3:24,24,24,9,00:3:53,45,41,8,FIN,09:27:20,15,
1072,Byungseop Park,Korea,Male,M65-69,12:31:23,273,253,1,01:15:18,84,80,1,05:37:06,118,114,1,05:25:27,552,488,11,00:6:35,225,202,2,00:6:57,286,258,5,FIN,09:27:26,16,1
27,Jihyun Lee,Korea,Female,F40-44,10:53:14,54,2,1,01:15:21,89,5,2,05:36:48,117,4,1,03:54:03,67,6,3,00:3:24,25,1,1,00:3:38,32,2,1,FIN,09:28:46,17,1
832,Ilhwan Oh,Korea,Female,M50-54,10:31:55,33,1,4,01:19:15,147,7,24,05:16:46,38,2,5,03:47:34,47,4,6,00:4:13,59,8,6,00:4:08,56,5,7,FIN,09:28:51,18,
34,Sunyoung Lee,Korea,Female,F40-44,10:54:05,56,3,2,01:15:13,82,4,1,05:47:10,163,8,2,03:42:43,29,2,1,00:4:16,60,9,2,00:4:42,94,9,2,FIN,09:29:30,19,1
1046,Hyeonjong Yu,Korea,Male,M60-64,11:29:52,109,101,3,01:26:48,351,331,15,05:36:01,110,107,4,04:16:24,166,150,8,00:6:26,213,190,5,00:4:13,60,55,2,FIN,09:29:58,20,
362,Hiroyuki Okuno,Japan,Male,M40-44,09:49:18,9,9,4,01:08:37,14,12,6,04:56:28,11,10,3,03:36:49,17,17,7,00:4:20,65,56,14,00:3:05,13,12,4,FIN,09:30:37,21,
859,克明 永井,Japan,Male,M50-54,10:38:49,37,36,5,01:22:49,240,228,46,04:53:24,7,6,2,04:13:07,151,136,25,00:4:51,92,82,15,00:4:39,92,84,16,FIN,09:35:03,22,
1068,Youngdug Cho,Korea,Male,M65-69,12:43:34,303,279,2,01:35:48,619,573,8,05:52:24,204,192,2,05:00:28,417,369,9,00:8:20,399,363,4,00:6:34,254,226,4,FIN,09:36:38,23,
54,Eun-Nam Kim,Korea,Female,F45-49,11:18:34,93,6,1,01:40:37,735,65,15,05:40:16,127,5,1,03:46:07,39,3,2,00:6:52,258,27,7,00:4:42,95,10,3,FIN,09:36:50,24,1
392,Dongmyoung Kim,Korea,Male,M40-44,09:56:21,13,13,5,01:13:28,47,44,12,05:12:46,31,30,9,03:23:37,8,8,3,00:3:06,15,15,4,00:3:25,23,22,6,FIN,09:37:26,25,
919,Yoshinori Kikuchi,Japan,Male,M55-59,11:06:57,71,68,3,01:30:21,471,441,44,05:29:43,82,80,3,03:59:26,87,79,6,00:3:58,49,43,1,00:3:29,26,25,1,FIN,09:38:02,26,
1070,Gyugwan Jo,Korea,Male,M65-69,12:45:48,312,287,3,01:45:54,812,734,12,05:59:16,259,246,3,04:42:59,303,268,7,00:7:42,334,303,3,00:9:57,569,512,12,FIN,09:38:19,27,
