Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
1742,Peter Johan Dillo,Netherlands,Male,M50-54,08:37:06,42,34,1,00:57:33,87,74,5,04:28:37,51,46,1,03:00:51,48,41,1,00:5:09,154,122,8,00:4:56,293,259,13,FIN,07:45:29,1,1
730,Lars Wichert,Germany,Male,M35-39,07:50:42,1,1,1,00:57:48,92,79,23,04:03:55,1,1,1,02:41:48,2,2,2,00:3:54,19,7,4,00:3:18,21,14,7,FIN,07:45:45,2,1
2234,Pieter Iedema,Netherlands,Male,M65-69,10:18:00,578,546,1,01:22:02,1619,1455,8,05:05:41,627,595,2,03:35:28,454,425,1,00:6:39,527,467,2,00:8:11,1382,1238,6,FIN,07:46:42,3,1
237,Miao Hao,China,Male,M35-39,07:58:04,3,3,2,00:51:32,5,3,2,04:14:15,4,4,2,02:45:26,4,4,3,00:3:52,18,6,3,00:2:59,5,5,3,FIN,07:53:02,4,1
1188,Chris Beckmans,Australia,Male,M30-34,07:55:55,2,2,1,00:55:00,39,32,9,04:07:44,2,2,1,02:46:02,5,5,2,00:3:54,20,8,2,00:3:16,17,12,5,FIN,07:55:55,5,1
234,Frederik Holm Wester,Denmark,Male,M18-24,08:10:57,6,6,1,00:51:40,6,4,1,04:11:28,3,3,1,03:01:20,50,43,1,00:3:22,1,1,1,00:3:08,8,7,1,FIN,07:56:07,6,1
1574,Lothar Richthammer,Germany,Male,M65-69,10:32:35,729,687,2,01:27:25,1913,1709,10,05:04:12,599,568,1,03:48:21,744,695,4,00:6:49,568,506,3,00:5:48,582,519,2,FIN,07:57:43,7,
2012,Rune Strøm Jensen,Denmark,Male,M45-49,08:29:16,19,16,1,00:51:56,9,7,1,04:31:12,71,64,3,02:57:38,37,32,2,00:4:38,72,50,3,00:3:52,75,59,2,FIN,07:58:45,8,1
1502,Melissa Dowell,United Kingdom,Female,F55-59,10:17:29,574,31,1,01:01:47,195,24,1,05:11:26,751,39,2,03:51:53,819,58,3,00:7:11,688,71,4,00:5:11,375,42,2,FIN,08:00:16,9,1
1864,Juergen Klindworth,Germany,Male,M65-69,10:36:10,768,720,3,01:05:35,353,308,2,05:15:34,843,797,3,04:02:32,1059,974,7,00:6:01,336,290,1,00:6:27,791,714,4,FIN,08:00:25,10,
