Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
330,Jason George,United States,Male,M60-64,10:13:32,110,94,1,01:09:18,445,363,13,05:19:49,115,102,2,03:33:13,133,109,1,00:7:05,429,339,12,00:4:06,215,158,2,FIN,08:26:54,1,1
397,Colin Cook,United States,Male,M40-44,08:56:31,24,24,1,01:00:08,143,123,11,04:55:24,43,43,2,02:54:30,15,14,1,00:4:07,60,46,2,00:2:21,26,17,1,FIN,08:39:30,2,1
347,Michael Ross,United States,Male,M50-54,09:42:53,67,58,1,01:00:43,149,129,4,05:21:40,122,109,3,03:11:42,52,45,1,00:5:20,163,126,7,00:3:29,134,98,6,FIN,08:44:42,3,1
1132,Dennis Cruff,United States,Male,M65-69,11:41:13,344,294,1,01:05:55,284,232,1,06:12:17,481,427,2,04:10:55,392,318,2,00:6:23,313,243,1,00:5:42,463,349,1,FIN,08:49:33,4,1
426,Thomas Gordon,United States,Male,M25-29,08:56:37,25,25,1,00:48:50,6,6,1,05:02:57,63,59,6,02:57:52,18,17,1,00:4:06,57,44,1,00:2:51,67,48,4,FIN,08:52:22,5,1
482,David Morris,United States,Male,M40-44,09:12:46,36,33,2,00:57:12,82,75,5,05:03:05,64,60,4,03:05:41,29,26,2,00:4:04,56,43,1,00:2:42,53,39,6,FIN,08:55:14,6,1
567,Ava Warfel,United States,Female,F18-24,10:25:36,130,20,1,01:00:55,153,21,2,05:51:40,279,30,1,03:23:30,87,16,1,00:5:47,219,53,2,00:3:45,175,44,1,FIN,08:55:57,7,1
1725,Robyn Hardage,Canada,Female,F40-44,10:16:30,114,18,1,01:01:50,170,26,3,05:38:13,198,19,2,03:28:42,110,22,1,00:4:48,93,22,1,00:2:56,75,21,1,FIN,08:56:47,8,1
332,Mark Knaeps,Belgium,Male,M65-69,11:52:05,391,330,2,01:11:53,600,488,2,06:16:45,545,483,4,04:05:01,351,288,1,00:8:42,752,583,3,00:9:44,1411,1049,15,FIN,08:57:45,9,1
2132,Eric Engel,United States,Male,M35-39,09:03:47,30,29,1,00:54:36,50,45,2,04:56:23,46,46,2,03:06:06,33,30,3,00:3:45,46,37,2,00:2:57,76,55,8,FIN,08:58:04,10,1
294,Kiyan Sunderji,Canada,Male,M18-24,09:15:04,37,34,1,00:54:52,52,47,2,05:08:19,73,66,1,03:04:17,26,23,1,00:5:10,136,104,3,00:2:26,32,22,1,FIN,08:58:18,11,1
370,Jennifer Smith,United States,Female,F50-54,11:02:38,222,27,1,01:09:25,448,83,6,05:48:35,254,26,1,03:53:24,252,39,1,00:5:48,220,54,2,00:5:26,414,100,3,FIN,08:58:23,12,1
792,Christopher Naimoli,United States,Male,M45-49,09:35:09,55,48,1,01:03:19,204,172,11,05:09:32,78,69,2,03:14:14,59,51,1,00:4:39,80,63,2,00:3:25,124,91,7,FIN,09:00:41,13,1
2252,Adam Kuklinski,Poland,Male,M60-64,10:58:51,208,183,2,01:12:28,635,515,20,05:59:58,350,311,9,03:33:18,135,111,2,00:6:06,265,202,4,00:7:00,737,549,21,FIN,09:04:20,14,1
117,Andreas Meyer,Germany,Male,M60-64,11:00:56,217,191,3,01:18:07,1023,811,33,05:47:39,250,226,3,03:45:11,194,164,3,00:5:21,164,127,1,00:4:39,298,225,6,FIN,09:06:03,15,1
