Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
158,John Hughes,Australia,Male,M50-54,09:16:24,21,16,1,01:12:39,188,154,26,04:52:04,21,18,2,03:04:12,13,10,1,00:4:42,56,41,5,00:2:47,72,56,5,FIN,08:20:52,1,1
187,Eric Johnson,United States,Male,M70-74,12:28:18,322,272,1,01:12:30,181,148,1,06:09:31,329,296,1,04:54:30,415,334,1,00:7:19,258,204,1,00:4:28,240,191,1,FIN,08:34:31,2,1
181,Petr Vabrousek,Czechia,Male,M50-54,09:37:23,35,26,2,01:03:40,57,48,3,04:51:43,19,16,1,03:33:19,68,54,6,00:5:41,119,94,14,00:3:00,96,74,8,FIN,08:39:45,3,1
183,Daniel Barry,Australia,Male,M35-39,08:57:13,11,10,1,01:06:05,88,76,11,04:43:05,11,11,1,03:02:43,11,9,1,00:3:17,10,9,1,00:2:04,24,16,3,FIN,08:51:34,4,1
227,Satomi Fujita,Japan,Female,F55-59,11:25:10,181,22,1,01:13:25,209,36,1,06:04:41,295,29,2,03:55:04,150,24,1,00:7:07,229,50,2,00:4:52,288,58,4,FIN,08:52:55,5,1
151,Tanya Lavington,New Zealand,Female,F60-64,12:20:49,297,45,1,01:21:25,352,64,3,06:19:20,378,42,1,04:30:56,313,61,2,00:5:32,109,23,1,00:3:37,158,35,1,FIN,08:54:43,6,1
516,Michael Lindeback,Australia,Male,M35-39,09:04:47,16,12,2,01:03:29,55,47,3,04:44:00,12,12,2,03:10:16,22,17,2,00:5:05,76,60,8,00:1:57,14,9,2,FIN,08:59:03,7,1
157,Kipsan Beck,Thailand,Male,M50-54,10:02:11,57,47,3,01:10:02,126,106,15,05:14:55,66,57,3,03:27:45,56,43,3,00:6:49,204,163,27,00:2:40,61,46,4,FIN,09:02:05,8,1
880,Anthony Cowan,New Zealand,Male,M50-54,10:05:08,61,51,4,01:04:34,70,58,6,05:21:50,91,81,12,03:27:55,57,44,4,00:4:05,34,25,1,00:6:44,484,395,68,FIN,09:04:44,9,1
667,Tim Gould,New Zealand,Male,M40-44,09:24:03,25,18,1,01:11:25,164,134,18,04:51:54,20,17,1,03:13:23,28,21,1,00:4:58,68,52,5,00:2:23,42,31,5,FIN,09:06:10,10,1
226,Mayuko Tanikawa,Japan,Female,F60-64,12:37:10,352,57,2,01:34:06,569,111,4,06:31:17,438,61,3,04:10:14,206,33,1,00:11:16,594,127,5,00:10:17,715,149,6,FIN,09:06:31,11,1
801,Mike Paradisis,Australia,Male,M50-54,10:07:26,63,53,5,01:10:26,135,113,17,05:16:26,71,62,4,03:31:55,67,53,5,00:6:05,148,118,20,00:2:33,54,41,3,FIN,09:06:48,12,1
164,Adam Hillis,New Zealand,Male,M25-29,09:11:18,17,13,1,01:01:13,41,33,2,04:55:02,26,21,4,03:09:10,19,15,1,00:3:43,26,19,2,00:2:10,29,20,1,FIN,09:06:56,13,1
167,David Walsh,Australia,Male,M45-49,09:43:06,40,31,1,01:06:30,98,83,7,05:07:25,49,41,3,03:20:45,40,31,2,00:5:44,123,97,9,00:2:41,62,47,4,FIN,09:08:10,14,1
