Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
148,Adrian Santonastaso,Switzerland,Male,M60-64,09:27:23,79,72,1,01:02:58,178,155,2,04:52:42,134,127,2,03:25:43,94,84,1,00:2:48,60,46,1,00:3:11,166,136,2,FIN,07:48:46,1,1
486,Slawomir Kakol,Poland,Male,M60-64,09:46:31,133,121,2,01:11:06,567,496,6,04:47:59,89,83,1,03:38:12,200,185,2,00:5:19,618,522,13,00:3:55,315,274,4,FIN,08:04:34,2,
477,Per Nilsson,Denmark,Male,M55-59,09:26:25,75,68,1,00:58:54,85,70,1,04:41:26,40,37,1,03:40:35,222,205,12,00:2:50,63,48,2,00:2:40,89,70,9,FIN,08:10:54,3,1
107,Peter Jönsson,Sweden,Male,M50-54,09:10:49,39,34,1,00:59:54,103,85,11,04:35:26,20,20,1,03:29:06,127,115,6,00:3:01,87,70,4,00:3:22,196,164,17,FIN,08:15:50,4,1
674,Werner Nussbaumer,Germany,Male,M65-69,10:58:48,542,496,1,01:16:41,908,780,1,05:22:32,508,477,1,04:08:47,589,525,1,00:6:10,821,691,3,00:4:38,506,442,1,FIN,08:17:31,5,1
1653,Stefan Bolling,Sweden,Male,M50-54,09:14:58,49,42,2,00:57:02,47,40,7,04:41:44,42,39,2,03:28:38,120,110,5,00:3:59,262,222,20,00:3:35,239,202,22,FIN,08:19:34,6,1
126,Javier Serrano,Spain,Male,M50-54,09:19:08,56,49,3,01:06:48,326,284,35,04:44:45,60,55,4,03:21:36,70,62,2,00:3:14,118,96,6,00:2:46,98,77,7,FIN,08:23:19,7,1
227,Marie Ingerhed,Sweden,Female,F40-44,09:38:24,109,9,1,01:08:14,390,48,6,04:58:23,186,11,1,03:25:31,93,10,1,00:3:25,150,27,8,00:2:51,110,23,7,FIN,08:23:36,8,1
131,Jeroen De Meester,Belgium,Male,M40-44,08:40:15,5,4,1,01:04:07,222,191,23,04:30:52,3,3,1,02:59:36,7,7,2,00:3:16,127,104,15,00:2:24,49,37,7,FIN,08:23:45,9,1
1015,Marcus Larsson,Sweden,Male,M45-49,08:57:43,26,23,1,00:57:54,61,54,7,04:37:49,26,24,2,03:16:26,51,43,3,00:3:11,109,89,13,00:2:23,47,35,4,FIN,08:25:30,10,1
1464,Torbjörn Claeson,Sweden,Male,M55-59,09:43:18,125,113,2,01:09:30,465,402,35,04:46:38,76,71,2,03:38:45,206,190,10,00:4:09,294,251,22,00:4:15,395,344,24,FIN,08:25:32,11,1
186,Matheus Salto Martini,Brazil,Male,M30-34,08:27:12,1,1,1,00:48:12,1,1,1,04:35:08,17,17,6,02:58:01,4,4,1,00:3:33,175,145,23,00:2:16,34,24,4,FIN,08:27:12,12,1
759,Tina Mcevoy,Australia,Female,F60-64,11:43:06,820,78,1,01:08:44,413,54,2,05:53:36,1000,95,2,04:28:32,847,107,1,00:6:57,1019,170,3,00:5:17,681,88,1,FIN,08:27:29,13,1
944,Mikael Nelker,Sweden,Male,M45-49,09:01:17,30,26,2,01:02:02,155,134,21,04:44:11,57,52,9,03:06:58,17,14,1,00:4:21,355,301,44,00:3:44,268,230,38,FIN,08:28:51,14,1
789,Mattias Törnqvist,Sweden,Male,M55-59,09:47:10,138,126,3,01:09:09,439,381,32,04:53:43,145,137,5,03:38:41,205,189,9,00:3:13,114,92,5,00:2:24,51,39,3,FIN,08:28:53,15,1
235,Filip Jonsson,Sweden,Male,M25-29,08:33:19,2,2,1,01:02:28,163,141,23,04:32:21,7,7,1,02:53:16,2,2,1,00:3:19,135,111,12,00:1:56,9,6,2,FIN,08:29:15,16,1
1559,Michael Zantelid,Sweden,Male,M50-54,09:26:45,77,70,4,01:01:09,137,116,17,04:42:30,46,41,3,03:36:06,173,160,11,00:3:32,169,140,11,00:3:29,218,184,19,FIN,08:30:11,17,1
190,Thomas Schifter,Denmark,Male,M40-44,08:47:00,13,10,2,00:55:16,20,15,3,04:34:34,14,14,2,03:13:04,34,30,3,00:1:59,9,4,2,00:2:08,25,18,3,FIN,08:30:17,18,1
249,Christoffer Olkvist,Sweden,Male,M45-49,09:03:06,31,27,3,01:00:38,119,99,15,04:34:26,13,13,1,03:22:16,76,68,6,00:3:02,89,72,10,00:2:44,95,74,8,FIN,08:30:34,19,1
350,Viktoria Johnsson,Sweden,Female,F55-59,10:58:29,539,46,1,01:10:03,493,65,3,05:26:05,571,35,1,04:13:47,655,73,1,00:4:13,321,49,1,00:4:21,421,54,2,FIN,08:32:10,20,1
1255,Joost Van Rens,Netherlands,Male,M50-54,09:28:57,83,76,5,01:00:44,121,101,15,04:56:44,174,164,15,03:25:11,92,83,3,00:4:17,335,284,32,00:2:00,15,10,2,FIN,08:32:10,21,1
1975,Karen Ayse Salih,Denmark,Female,F50-54,10:31:20,352,28,1,01:08:17,391,49,4,05:19:29,456,28,1,03:57:06,436,45,2,00:4:16,332,50,3,00:2:12,29,10,1,FIN,08:32:57,22,1
834,Jaap Koetsier,Netherlands,Male,M35-39,08:39:00,3,3,1,01:00:58,131,111,18,04:27:42,2,2,1,03:05:21,16,13,2,00:2:57,77,61,17,00:2:03,18,13,3,FIN,08:33:33,23,1
150,Nicole Pelin,Sweden,Female,F35-39,09:39:25,111,10,1,01:03:48,212,30,6,05:16:29,400,24,6,03:13:33,37,6,1,00:3:31,167,29,2,00:2:04,20,6,1,FIN,08:33:42,24,1
146,Bruno De Decker,Belgium,Male,M55-59,09:53:08,161,149,4,01:03:53,216,186,12,04:46:38,77,72,3,03:53:41,385,349,24,00:4:37,428,366,30,00:4:19,412,360,28,FIN,08:34:04,25,
1659,Jan David Ljungcrantz,Sweden,Male,M55-59,09:54:23,168,156,5,01:05:41,287,253,20,05:02:57,223,212,12,03:37:50,192,178,6,00:3:24,147,121,11,00:4:31,468,410,30,FIN,08:35:09,26,
185,Erik Bson Blomberg,Sweden,Male,M50-54,09:33:26,97,89,6,01:00:01,107,89,12,04:53:25,142,134,13,03:35:46,168,155,10,00:2:05,12,6,1,00:2:09,27,19,3,FIN,08:36:12,27,
1059,Emanuela Venturelli,Italy,Female,F45-49,10:10:03,232,17,1,00:58:45,82,15,1,05:21:32,494,30,2,03:42:03,240,19,1,00:4:48,478,76,8,00:2:55,127,25,2,FIN,08:38:36,28,1
535,Mårten Bomark,Sweden,Male,M45-49,09:11:46,42,36,4,01:04:27,236,205,32,04:41:03,38,35,5,03:18:33,58,50,4,00:3:44,205,171,24,00:3:59,332,290,52,FIN,08:38:42,29,1
129,Juraj Rebro,Slovakia,Male,M50-54,09:36:42,107,99,7,01:07:19,352,308,39,05:02:25,215,204,18,03:20:25,65,57,1,00:3:43,202,168,13,00:2:51,109,87,8,FIN,08:39:08,30,
972,Matthias Berulla,Germany,Male,M55-59,09:59:11,187,175,6,01:10:30,528,457,38,05:01:13,203,192,10,03:35:58,170,157,4,00:4:14,324,275,23,00:7:16,1239,1050,103,FIN,08:39:18,31,
1105,Sergio Hernandez Benitez,Spain,Male,M55-59,09:59:35,190,178,7,01:10:58,560,489,43,05:04:52,239,228,14,03:35:20,165,152,3,00:5:08,565,478,36,00:3:17,185,155,11,FIN,08:39:39,32,
117,Richard Ledain Santiago,Spain,Male,M40-44,08:57:00,24,21,3,01:00:57,130,110,15,04:37:37,25,23,4,03:13:05,35,31,4,00:2:44,54,41,8,00:2:37,74,57,12,FIN,08:39:58,33,1
1554,Albert Saludes Bellés,Spain,Male,M40-44,08:57:13,25,22,4,00:55:15,18,14,2,04:40:41,36,33,6,03:15:03,44,36,6,00:3:00,85,68,10,00:3:14,180,150,24,FIN,08:40:11,34,1
1549,Gustav Flodin,Sweden,Male,M18-24,08:56:26,22,19,1,01:05:40,285,251,16,04:44:14,58,53,3,02:59:20,6,6,1,00:3:58,260,220,10,00:3:13,171,141,7,FIN,08:40:13,35,1
958,Mario Teune,Germany,Male,M30-34,08:40:43,6,5,2,00:55:07,16,12,5,04:40:18,33,30,8,02:59:15,5,5,2,00:2:51,65,50,11,00:3:12,167,137,21,FIN,08:40:43,36,1
216,Mats Atterving,Sweden,Male,M60-64,10:30:17,346,321,3,00:59:43,100,82,1,05:26:21,575,540,9,03:54:43,401,363,5,00:3:17,130,106,2,00:6:12,974,842,21,FIN,08:40:44,37,
946,David Sandberg,Sweden,Male,M35-39,08:46:58,12,9,2,00:55:54,28,22,4,04:32:58,8,8,4,03:12:35,32,28,6,00:2:58,81,64,20,00:2:34,68,52,8,FIN,08:41:26,38,1
239,Marcus Lindblom,Sweden,Male,M30-34,08:41:32,8,6,3,01:01:08,136,115,17,04:24:52,1,1,1,03:10:16,24,20,9,00:2:35,39,27,7,00:2:40,88,69,13,FIN,08:41:32,39,1
520,Clara Redetzki,Germany,Female,F30-34,09:40:59,113,12,1,01:03:04,182,24,2,04:55:16,159,9,1,03:36:07,175,14,2,00:3:13,113,22,2,00:3:19,191,32,4,FIN,08:41:32,40,1
130,Tony Schröder,Sweden,Male,M55-59,10:02:43,203,189,8,01:00:47,124,104,6,04:58:07,184,174,9,03:56:00,423,381,26,00:3:18,134,110,10,00:4:31,470,412,31,FIN,08:42:22,41,
479,Guido Kwakkel,Netherlands,Male,M45-49,09:15:43,52,45,5,00:56:21,34,27,2,04:48:57,104,97,14,03:22:51,80,72,7,00:2:34,37,25,4,00:5:00,607,531,85,FIN,08:42:25,42,
508,Michal Holub,Slovakia,Male,M35-39,08:48:01,14,11,3,01:01:16,139,118,20,04:32:20,6,6,3,03:09:13,21,18,3,00:3:14,115,93,28,00:1:58,13,9,2,FIN,08:42:28,43,1
141,Ulf Bladh,Sweden,Male,M60-64,10:33:21,360,332,4,01:09:45,477,414,4,05:20:42,476,447,6,03:54:37,397,359,4,00:4:12,315,268,6,00:4:06,359,311,6,FIN,08:43:16,44,
220,Klaus Halloe,Denmark,Male,M55-59,10:03:54,208,193,9,01:04:58,256,224,16,04:52:13,124,117,4,03:56:30,429,386,27,00:4:22,368,313,25,00:5:52,876,757,68,FIN,08:43:24,45,
632,Philipp Schick,Germany,Male,M30-34,08:43:27,10,7,4,00:56:19,33,26,9,04:33:57,12,12,5,03:08:54,19,16,8,00:2:22,19,10,4,00:1:56,10,7,1,FIN,08:43:27,46,1
105,Emma Bexson,United Kingdom,Female,F45-49,10:15:47,260,22,2,01:07:38,368,46,6,05:13:20,352,17,1,03:44:44,277,26,2,00:5:54,752,117,15,00:4:11,381,50,5,FIN,08:43:28,47,1
527,Carl Brümmer,Sweden,Male,M55-59,10:04:34,211,196,10,00:59:57,105,87,3,05:19:20,454,427,35,03:39:24,216,200,11,00:3:16,129,105,7,00:2:37,76,59,7,FIN,08:43:58,48,
122,Paulina Prugar Fukowska,Poland,Female,F40-44,10:01:54,199,14,2,01:08:56,426,58,9,05:18:48,441,27,3,03:28:49,122,11,2,00:2:45,55,14,2,00:2:35,71,17,5,FIN,08:44:04,49,1
103,Oliver Wykman,Sweden,Male,M30-34,08:44:23,11,8,5,00:59:22,92,76,14,04:39:34,30,28,7,03:00:19,9,8,3,00:2:38,44,31,8,00:2:29,62,47,9,FIN,08:44:23,50,1
139,James Budge,United Kingdom,Male,M35-39,08:51:20,18,15,4,01:03:21,191,164,30,04:32:58,9,9,5,03:09:51,23,19,4,00:2:46,57,43,9,00:2:23,46,34,6,FIN,08:45:45,51,1
856,Odd Larson,Sweden,Male,M50-54,09:44:29,128,116,8,01:09:51,482,419,54,04:48:30,97,90,6,03:37:20,186,172,12,00:4:18,342,290,36,00:4:30,460,403,49,FIN,08:46:09,52,
1471,Marcus Haeggström,Sweden,Male,M30-34,08:48:26,15,12,6,00:56:46,40,33,10,04:33:36,11,11,4,03:12:42,33,29,13,00:3:05,95,76,15,00:2:17,36,26,5,FIN,08:48:26,53,
1117,Peter Karlsson,Sweden,Male,M55-59,10:10:06,233,216,11,01:12:48,666,584,56,05:06:37,270,258,16,03:41:41,234,216,14,00:4:58,523,438,33,00:4:01,342,298,18,FIN,08:48:46,54,
504,Callum Townsend,United Kingdom,Male,M25-29,08:53:19,19,16,2,00:59:55,104,86,12,04:35:45,22,21,3,03:11:38,27,23,4,00:3:06,99,80,8,00:2:55,126,102,18,FIN,08:49:06,55,1
109,Lars Gustafsson,Sweden,Male,M55-59,10:10:47,237,220,12,01:06:04,300,262,21,05:14:05,363,345,25,03:44:09,268,243,17,00:2:45,56,42,1,00:3:44,272,233,14,FIN,08:49:21,56,
942,Dorthe Nordgård,Norway,Female,F18-24,10:18:01,273,25,1,01:03:36,199,28,2,05:29:12,618,40,1,03:38:18,202,16,1,00:3:23,143,26,1,00:3:31,223,35,1,FIN,08:49:27,57,1
