Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
145,Sandra Dänzer,Switzerland,Female,F50-54,10:25:19,154,4,1,01:11:17,341,31,2,05:33:09,197,2,1,03:28:43,142,6,1,00:6:58,212,20,1,00:5:12,321,33,1,FIN,08:28:04,1,1
109,Anton Smit,Netherlands,Male,M60-64,10:20:21,128,127,1,01:09:55,290,270,5,05:21:12,103,102,1,03:39:38,235,222,3,00:5:04,48,45,1,00:4:32,210,192,3,FIN,08:32:31,2,1
264,Georgina Gadient,Switzerland,Female,F45-49,10:06:09,99,1,1,01:08:51,248,18,1,05:16:14,83,1,1,03:32:53,173,7,1,00:4:49,37,2,1,00:3:22,64,6,1,FIN,08:35:17,3,1
254,Alexander Lang,Germany,Male,M55-59,10:03:11,91,91,1,01:15:37,505,461,23,05:15:10,80,80,2,03:21:12,86,84,1,00:7:17,245,222,10,00:3:56,127,118,5,FIN,08:42:46,4,1
255,Filippos Vokos,Greece,Male,M18-24,09:01:09,4,4,1,00:58:31,24,23,3,04:54:40,5,5,2,03:01:17,11,11,1,00:4:01,8,8,1,00:2:40,12,12,1,FIN,08:44:48,5,1
848,Nicola Christiaens,Belgium,Male,M25-29,08:50:38,2,2,1,00:57:17,14,14,3,04:58:02,7,7,3,02:48:40,2,2,1,00:4:00,7,7,2,00:2:38,9,9,2,FIN,08:46:26,6,1
32,Roman Procházka,Czechia,Male,M50-54,09:47:28,58,58,1,01:06:07,160,152,17,05:06:15,32,32,1,03:25:32,113,109,3,00:5:23,67,63,5,00:4:11,164,149,9,FIN,08:48:50,7,1
444,Pascal Franken,Netherlands,Male,M30-34,08:50:09,1,1,1,01:00:00,43,42,13,04:41:22,1,1,1,03:02:00,14,14,6,00:4:05,9,9,5,00:2:42,18,18,8,FIN,08:50:09,8,1
506,Jurriaan Schuring,Netherlands,Male,M25-29,08:59:50,3,3,2,01:01:11,62,60,13,04:52:49,2,2,1,02:59:13,8,8,3,00:3:44,4,4,1,00:2:54,33,31,6,FIN,08:55:34,9,1
31,Nicola Buchs,Switzerland,Male,M18-24,09:14:41,9,9,2,01:01:39,70,68,9,05:01:57,19,19,3,03:02:09,15,15,2,00:4:33,23,23,2,00:4:24,190,172,13,FIN,08:57:55,10,1
576,Matthias Ziegler,Germany,Male,M55-59,10:24:31,147,145,2,01:12:57,401,367,18,05:06:11,30,30,1,03:50:45,371,344,8,00:9:22,471,426,24,00:5:17,335,302,16,FIN,09:01:16,11,1
17,Andrew Woodroffe,United Kingdom,Male,M30-34,09:03:44,5,5,2,00:59:38,33,32,10,05:11:03,55,55,16,02:42:28,1,1,1,00:6:47,195,179,37,00:3:47,106,98,25,FIN,09:03:44,12,1
1439,Kaspar Ritz,Switzerland,Male,M60-64,10:58:25,265,258,2,01:19:23,671,607,14,05:44:28,290,286,3,03:37:14,215,206,2,00:11:09,656,590,16,00:6:11,485,433,9,FIN,09:03:59,13,1
143,Eddy Verschueren,Belgium,Male,M55-59,10:28:01,163,159,3,01:10:05,298,277,11,05:33:48,204,202,8,03:28:48,143,137,3,00:6:32,168,155,7,00:8:49,921,804,57,FIN,09:04:18,14,1
45,Benjamin Bouchet,France,Male,M35-39,09:10:56,6,6,1,00:57:14,13,13,1,05:06:14,31,31,6,02:58:50,7,7,3,00:5:13,58,55,10,00:3:24,70,63,16,FIN,09:05:08,15,1
