Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
461,Barry Edwards,United States,Male,M60-64,09:57:14,206,179,1,00:58:18,135,123,1,05:06:15,288,268,2,03:38:40,235,197,1,00:6:18,907,760,19,00:7:43,976,813,24,FIN,08:13:26,1,1
316,Jana Richtrova,Czechia,Female,F40-44,09:33:52,123,16,1,01:10:45,621,71,5,04:42:14,82,10,1,03:33:27,184,31,2,00:2:57,81,26,1,00:4:29,285,55,5,FIN,08:19:39,2,1
452,Juan Valencia,Colombia,Male,M45-49,08:53:09,37,33,1,00:55:37,79,72,2,04:40:03,62,61,3,03:10:26,53,44,2,00:4:01,254,206,22,00:3:02,77,52,2,FIN,08:21:12,3,1
767,Fredrik Hallsten,Sweden,Male,M55-59,09:43:46,158,138,1,01:09:18,548,489,22,04:58:08,212,198,4,03:29:18,147,121,2,00:3:22,123,93,1,00:3:40,143,107,2,FIN,08:25:57,4,1
2291,Andrew Hall,United States,Male,M35-39,08:32:22,26,26,1,00:55:39,81,74,5,04:36:01,46,46,4,02:54:52,20,20,1,00:3:08,98,70,4,00:2:42,54,33,1,FIN,08:26:59,5,1
1700,Mauricio Borges,Brazil,Male,M50-54,09:27:57,103,91,1,01:09:39,568,505,52,04:50:53,156,144,7,03:18:11,77,65,1,00:4:45,443,371,29,00:4:28,279,225,17,FIN,08:31:16,6,1
455,Dan Contant,Canada,Male,M60-64,10:19:10,281,246,2,01:05:54,371,333,8,05:16:49,383,354,3,03:46:06,305,256,2,00:4:28,352,289,2,00:5:53,578,481,5,FIN,08:31:33,7,1
874,Christopher Naimoli Naimoli,United States,Male,M45-49,09:05:23,59,52,2,01:04:39,320,289,28,04:38:57,55,55,2,03:12:10,56,47,3,00:4:06,273,223,27,00:5:31,508,419,55,FIN,08:32:42,8,1
1424,Juan Felipe Mondragon,Colombia,Male,M55-59,09:51:42,186,161,2,01:07:09,438,389,14,04:51:21,157,145,2,03:43:54,286,242,7,00:4:53,483,408,15,00:4:24,256,205,4,FIN,08:32:49,9,1
665,Jim Larrieu,United States,Male,M65-69,11:20:02,525,466,1,01:14:54,862,759,7,05:39:30,632,581,2,04:14:48,560,481,1,00:5:35,707,594,6,00:5:15,459,378,3,FIN,08:33:33,10,1
