Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
950,Lennie Lange Kristensen,Denmark,Male,M55-59,09:14:24,86,76,1,01:11:22,655,597,27,04:40:18,63,58,1,03:14:28,82,71,1,00:4:51,369,329,14,00:3:25,243,209,9,FIN,08:00:29,1,1
130,Bob Mcrae,United States,Male,M55-59,09:24:55,111,100,2,01:03:26,292,263,11,04:43:01,74,68,2,03:31:29,214,190,4,00:3:59,188,162,3,00:3:00,151,129,3,FIN,08:09:36,2,1
736,Jaime Menendez De Luarca,Spain,Male,M50-54,09:08:21,76,66,1,00:56:56,92,82,3,04:41:52,70,65,1,03:22:48,140,125,6,00:2:51,64,50,1,00:3:54,362,317,26,FIN,08:13:37,3,1
339,Magnus Funder,Denmark,Male,M18-24,08:30:02,26,25,1,00:55:03,61,60,2,04:29:44,37,37,2,02:59:04,26,23,1,00:2:53,65,51,1,00:3:19,219,189,10,FIN,08:14:37,4,1
1531,Edouard Entraygues,France,Male,M50-54,09:11:28,80,70,2,00:54:35,57,56,1,04:50:44,114,103,7,03:19:19,112,98,2,00:3:42,150,127,9,00:3:08,185,158,7,FIN,08:16:25,5,1
839,Raul Delgado Herrero,Spain,Male,M50-54,09:19:00,99,89,3,01:00:12,177,157,9,04:56:36,163,148,8,03:14:17,80,69,1,00:3:56,181,155,12,00:3:59,378,332,28,FIN,08:23:12,6,1
170,Peter Younghusband,United Kingdom,Male,M60-64,10:12:51,275,249,1,00:59:26,153,136,1,04:52:50,127,116,1,04:14:19,676,603,8,00:3:07,80,65,1,00:3:08,184,157,2,FIN,08:26:20,7,1
461,Laurent Bastard,France,Male,M65-69,11:10:59,584,537,1,01:14:59,860,779,4,05:37:06,652,611,1,04:06:44,590,527,3,00:6:16,686,614,1,00:5:55,846,758,4,FIN,08:26:43,8,1
117,Clive Kennedy-Burn,United Kingdom,Male,M50-54,09:24:07,109,98,4,00:55:34,74,66,2,04:43:50,79,73,2,03:33:57,237,212,13,00:6:14,683,611,70,00:4:33,539,480,46,FIN,08:27:49,9,1
115,Pablo Durante,Argentina,Male,M55-59,09:46:15,170,153,3,01:01:35,224,202,5,05:11:06,289,271,6,03:25:23,161,142,2,00:4:42,329,293,11,00:3:30,266,229,11,FIN,08:28:06,10,1
137,Daniel Gonzalez Alvarez,Spain,Male,M45-49,09:02:25,62,52,1,00:57:15,104,93,8,04:37:52,55,50,1,03:20:22,122,107,6,00:3:12,88,71,3,00:3:44,320,278,35,FIN,08:29:55,11,1
795,Paulo Martins,Portugal,Male,M50-54,09:26:47,117,105,5,01:08:10,490,447,47,04:48:16,100,90,4,03:20:37,124,109,4,00:5:09,428,380,35,00:4:34,549,489,49,FIN,08:30:13,12,1
151,Jim Doornbosch,Netherlands,Male,M25-29,08:34:23,31,29,1,00:57:12,100,90,7,04:33:24,46,42,1,02:57:04,22,19,1,00:4:17,237,208,10,00:2:27,73,60,2,FIN,08:30:19,13,1
116,Rémy Strat,France,Male,M60-64,10:18:34,303,275,2,01:10:36,615,564,10,05:21:00,412,385,4,03:39:46,297,269,3,00:4:05,201,175,3,00:3:07,180,153,1,FIN,08:31:03,14,1
180,David Boquet,France,Male,M50-54,09:28:02,118,106,6,01:00:46,197,176,10,04:58:49,179,164,11,03:19:30,115,101,3,00:5:14,459,408,40,00:3:43,311,271,23,FIN,08:31:20,15,
390,Olaf Lechtenfeld,Germany,Male,M65-69,11:18:41,625,573,2,01:28:59,1396,1236,8,05:38:48,677,634,2,03:58:26,502,451,1,00:6:43,796,705,5,00:5:45,809,727,2,FIN,08:32:32,16,
1402,Mario Andre Rocha,Portugal,Male,M30-34,08:33:36,30,28,1,00:55:27,72,64,6,04:31:18,44,40,1,03:01:46,35,31,2,00:2:43,55,42,3,00:2:23,61,51,7,FIN,08:33:36,17,1
508,Lize Paridaens,Belgium,Female,F30-34,09:33:29,135,15,1,01:02:26,248,26,3,05:11:39,297,19,1,03:13:21,74,11,1,00:3:10,85,17,1,00:2:51,124,20,2,FIN,08:34:48,18,1
616,Jamel Ghermaoui,France,Male,M60-64,10:23:30,326,297,3,01:24:52,1290,1150,44,05:24:02,458,428,5,03:23:40,144,129,1,00:6:36,766,678,19,00:4:20,474,420,7,FIN,08:35:08,19,
1137,Alessandro Dagnano,Italy,Male,M30-34,08:35:28,32,30,2,00:55:41,76,67,7,04:35:15,48,44,2,02:59:42,28,25,1,00:2:29,34,24,1,00:2:22,60,50,6,FIN,08:35:28,20,1
388,Antonio Bussolati,Italy,Male,M60-64,10:24:21,330,301,4,01:11:43,678,618,11,05:20:05,395,368,3,03:40:15,301,273,4,00:6:33,754,668,17,00:5:45,810,728,16,FIN,08:35:50,21,
110,Andreas Bund,Germany,Male,M55-59,09:56:55,221,202,4,01:06:20,419,384,18,05:14:37,326,305,10,03:28:13,188,166,3,00:4:43,337,300,12,00:3:03,165,140,5,FIN,08:37:20,22,
166,Michal Wojtylo,Poland,Male,M40-44,08:55:22,49,41,1,01:02:21,245,221,32,04:36:00,51,47,2,03:10:41,68,58,2,00:3:25,109,89,9,00:2:55,142,121,22,FIN,08:38:23,23,1
1559,Francisco Salgado,Portugal,Male,M70-74,12:36:20,1021,928,1,01:27:52,1374,1218,2,06:06:37,1023,945,1,04:47:33,1008,894,1,00:6:45,802,711,1,00:7:33,1138,1016,2,FIN,08:40:03,24,1
199,Johanna O'Regan,United Kingdom,Female,F40-44,09:57:58,225,20,1,01:31:33,1435,166,20,05:12:01,304,20,1,03:05:29,45,7,1,00:5:11,444,50,6,00:3:44,319,42,6,FIN,08:40:38,25,1
126,Dimitri Pevenage,Belgium,Male,M50-54,09:39:14,151,134,7,01:06:09,405,370,34,04:46:18,89,80,3,03:38:51,292,264,20,00:4:46,350,311,29,00:3:11,191,164,9,FIN,08:41:25,26,
1050,Iñigo Labayen Iraeta,Spain,Male,M45-49,09:14:49,89,79,2,00:58:46,138,123,15,04:49:35,107,96,2,03:19:09,110,96,3,00:4:28,277,243,35,00:2:51,127,107,8,FIN,08:41:34,27,1
1279,Borja Estomba Nieto,Spain,Male,M35-39,08:47:42,41,36,1,00:58:04,127,115,21,04:37:54,56,51,3,03:06:19,51,44,8,00:3:09,84,68,9,00:2:17,48,40,3,FIN,08:42:09,28,1
793,Lucas Voets,Netherlands,Male,M18-24,08:58:44,56,47,2,00:56:37,85,75,5,04:25:02,30,30,1,03:31:27,213,189,8,00:3:20,100,82,3,00:2:18,52,44,2,FIN,08:42:27,29,1
177,Luk Tijsmans,Belgium,Male,M50-54,09:40:36,155,138,8,01:01:16,216,194,13,05:06:22,235,218,17,03:21:35,131,116,5,00:5:58,628,562,63,00:5:25,737,660,80,FIN,08:42:39,30,
247,Sergio Inchausti Beñaran,Spain,Male,M45-49,09:16:31,92,82,3,00:54:26,56,55,2,04:56:05,157,142,10,03:19:27,114,100,4,00:3:55,180,154,14,00:2:39,95,79,5,FIN,08:43:10,31,1
