Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
11053,June WARD,Australia,Female,F60-64,10:58:56,333,32,1,01:20:12,649,86,1,05:51:59,604,59,2,03:37:58,147,13,1,00:4:40,152,21,1,00:4:05,141,24,1,FIN,07:55:37,1,1
117,Regan HOLLIOAKE,Australia,Female,F30-34,08:52:50,34,5,1,00:52:46,24,3,1,04:40:22,54,6,1,03:13:44,41,8,2,00:3:35,49,10,2,00:2:22,6,3,2,FIN,07:58:19,2,1
166,Paul HILL,New Zealand,Male,M55-59,09:19:49,55,49,1,00:59:50,93,84,4,04:46:03,68,61,1,03:25:44,84,75,1,00:4:11,95,81,4,00:4:00,129,107,2,FIN,08:05:11,3,1
186,Alex STUART,Australia,Male,M35-39,08:10:46,8,8,1,00:57:15,65,57,9,04:16:57,13,13,2,02:50:19,6,6,1,00:2:59,21,16,2,00:3:14,55,44,8,FIN,08:05:36,4,1
132,Ryan MILLER,Australia,Male,M40-44,08:34:49,17,15,1,00:59:24,89,80,8,04:30:50,33,30,4,02:57:02,14,14,1,00:2:42,11,8,1,00:4:49,227,192,23,FIN,08:18:29,5,1
134,Nick BENSLEY,Australia,Male,M40-44,08:34:58,18,16,2,00:55:21,40,34,2,04:16:06,11,11,2,03:16:22,52,44,3,00:4:09,91,77,6,00:2:57,34,26,3,FIN,08:18:38,6,1
107,Gus MACDONALD,Australia,Male,M18-24,08:35:35,20,18,1,00:57:21,67,59,5,04:22:06,20,18,1,03:09:48,31,27,1,00:3:30,44,35,3,00:2:50,27,20,2,FIN,08:20:00,7,1
18001,David BOYES,Australia,Male,M60-64,10:06:55,166,153,1,01:07:24,245,215,3,05:03:14,159,149,2,03:49:13,231,207,1,00:3:29,43,34,1,00:3:33,84,71,1,FIN,08:21:26,8,1
168,Mark BURKE,New Zealand,Male,M60-64,10:07:36,167,154,2,01:04:04,179,158,2,04:43:39,61,54,1,04:10:24,377,332,3,00:5:16,230,194,5,00:4:10,152,127,3,FIN,08:21:59,9,
116,Katie REMOND,Australia,Female,F30-34,09:21:11,59,7,2,01:01:01,111,13,4,05:09:49,212,14,2,03:05:25,20,2,1,00:3:03,24,6,1,00:1:50,1,1,1,FIN,08:23:46,10,1
159,Magdalena SHLESINGER,South Africa,Female,F50-54,10:20:21,202,16,1,01:11:00,352,42,3,05:07:18,194,12,1,03:52:07,252,28,2,00:5:08,218,33,2,00:4:46,221,34,4,FIN,08:24:02,11,1
214,Damien ANGUS,Australia,Male,M45-49,08:56:11,39,33,1,00:58:35,81,73,8,04:37:34,49,44,2,03:13:57,42,34,1,00:3:04,26,20,1,00:2:59,37,29,4,FIN,08:24:03,12,1
112,Rhys CORBISHLEY,Australia,Male,M30-34,08:25:27,14,14,1,00:58:08,77,69,13,04:25:25,24,22,2,02:55:14,12,12,1,00:3:50,70,58,10,00:2:48,24,18,2,FIN,08:25:27,13,1
204,Kirsty SHEEHAN,Australia,Female,F40-44,09:42:21,87,10,1,01:01:57,129,16,2,05:06:56,189,11,1,03:26:13,87,10,1,00:3:36,52,11,1,00:3:36,88,15,6,FIN,08:27:03,14,1
985,Mike CERNY,Australia,Male,M45-49,08:59:55,42,36,2,01:00:33,104,92,11,04:25:59,25,23,1,03:26:05,85,76,5,00:4:10,93,79,10,00:3:06,46,38,6,FIN,08:27:34,15,1
119,Clint DOW,Australia,Male,M35-39,08:36:17,21,19,2,00:57:25,69,61,11,04:28:01,28,26,3,03:03:05,16,16,2,00:3:54,74,62,7,00:3:50,113,95,25,FIN,08:30:51,16,1
243,Sam MUSGROVE,Australia,Male,M25-29,08:37:52,23,21,1,00:53:55,30,26,4,04:23:51,22,20,1,03:11:46,37,31,3,00:3:49,68,56,5,00:4:29,181,151,16,FIN,08:33:46,17,1
1490,Christopher WILKINSON,United Kingdom,Male,M30-34,08:35:28,19,17,2,00:49:50,9,9,1,04:22:27,21,19,1,03:16:28,53,45,8,00:3:37,53,42,5,00:3:03,41,33,4,FIN,08:35:28,18,1
594,John KETELBEY,Australia,Male,M35-39,08:42:13,25,22,3,00:56:21,51,45,5,04:31:52,37,34,5,03:06:32,22,20,5,00:3:38,56,45,4,00:3:49,108,91,23,FIN,08:36:44,19,
110,Noel MULKEY,United States,Male,M25-29,08:42:31,26,23,2,00:51:48,16,14,1,04:31:51,36,33,2,03:10:57,34,29,1,00:3:17,32,26,1,00:4:35,190,160,18,FIN,08:38:23,20,1
153,Tony GOODYEAR,United Kingdom,Male,M50-54,09:36:43,79,70,1,01:05:28,211,186,9,04:52:03,95,88,2,03:32:03,112,101,1,00:4:19,110,95,3,00:2:48,25,19,1,FIN,08:39:09,21,1
1511,John HILL,Australia,Male,M65-69,11:28:24,430,388,1,01:10:18,334,296,2,05:36:39,449,416,3,04:30:30,534,465,1,00:5:01,207,176,1,00:5:54,382,321,2,FIN,08:39:52,22,1
125,Thomas BLAHA,Austria,Male,M35-39,08:46:00,28,25,4,00:57:19,66,58,10,04:34:14,44,40,9,03:06:40,24,21,6,00:3:42,63,51,5,00:4:04,139,116,32,FIN,08:40:28,23,
680,Loic DRAOULEC,France,Male,M35-39,08:46:11,29,26,5,00:57:59,74,66,12,04:35:25,46,42,10,03:04:57,19,18,3,00:4:13,98,84,12,00:3:34,85,72,15,FIN,08:40:39,24,
