Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
91,Philip Rybecky,United States,Male,M65-69,10:43:41,96,89,1,00:44:49,326,278,3,05:39:59,140,136,1,04:00:44,79,73,1,00:10:54,941,687,13,00:7:15,463,336,5,FIN,08:06:06,1,
145,Fernando Maluf,United States,Male,M25-29,08:22:55,1,1,1,00:38:21,22,21,7,04:39:53,1,1,1,02:59:30,1,1,1,00:3:19,1,1,1,00:1:52,4,3,1,FIN,08:18:56,2,
108,Karel Sumbal,United States,Male,M45-49,08:59:57,5,5,1,00:38:29,23,22,3,04:56:45,8,8,1,03:16:03,6,6,1,00:5:08,103,80,16,00:3:33,63,50,11,FIN,08:27:36,3,
86,Jimmy Sosinski,United States,Male,M40-44,08:45:20,2,2,1,00:40:11,58,53,8,04:47:59,4,4,2,03:10:33,3,3,1,00:4:12,27,26,9,00:2:25,11,9,3,FIN,08:28:40,4,
1277,Jade Costen,United States,Male,M50-54,09:33:47,22,22,1,00:40:14,60,54,3,05:05:12,15,15,1,03:39:50,38,37,1,00:4:22,41,35,1,00:4:10,106,85,6,FIN,08:36:31,5,
67,David Jones,United States,Male,M60-64,10:25:34,69,67,1,00:42:24,148,130,4,05:31:50,90,88,2,04:01:12,82,75,1,00:4:52,75,62,1,00:5:17,209,166,5,FIN,08:36:50,6,
1055,Jesse Bruce,Canada,Male,M40-44,09:03:06,7,7,2,00:40:45,75,69,16,05:01:18,11,11,5,03:14:11,5,5,2,00:4:10,25,24,8,00:2:43,15,13,4,FIN,08:45:53,7,
946,Denise Hiller,United States,Female,F50-54,10:48:14,105,9,1,00:46:25,489,90,6,05:45:14,166,10,1,04:07:36,101,13,2,00:4:57,85,16,2,00:4:02,96,20,2,FIN,08:46:41,8,1
1058,Brandon Lee,United States,Male,M40-44,09:03:58,8,8,3,00:40:42,74,68,15,04:50:39,5,5,3,03:25:55,16,15,4,00:3:32,7,7,3,00:3:11,41,33,7,FIN,08:46:43,9,
167,Matt Meredith,United States,Male,M35-39,08:53:45,3,3,1,00:40:26,67,61,10,04:55:20,7,7,2,03:10:27,2,2,1,00:4:24,44,38,8,00:3:08,34,26,3,FIN,08:48:08,10,
126,John Bergeron,United States,Male,M65-69,11:41:53,238,202,2,00:42:36,160,140,2,06:18:34,438,384,5,04:24:38,175,142,2,00:9:22,694,505,6,00:6:44,383,283,3,FIN,08:50:03,11,
335,Andres Darricau,Argentina,Male,M45-49,09:27:37,18,18,2,00:35:57,9,9,1,05:08:43,23,23,4,03:35:46,28,27,4,00:3:36,9,9,1,00:3:34,66,53,12,FIN,08:53:36,12,
133,Jörg Kult,Germany,Male,M55-59,10:17:44,56,56,1,00:45:57,444,365,21,05:27:05,67,66,1,03:57:22,70,66,3,00:4:23,42,36,2,00:2:57,21,17,2,FIN,08:55:23,13,
635,Andy Stetzler,United States,Male,M35-39,09:01:11,6,6,2,00:35:50,7,7,1,05:03:17,13,13,4,03:13:35,4,4,2,00:4:06,20,19,4,00:4:24,123,100,21,FIN,08:55:30,14,
135,Scott Bradley,United States,Male,M40-44,09:14:11,11,11,4,00:37:50,17,16,4,04:43:15,2,2,1,03:46:50,47,43,10,00:4:07,22,21,6,00:2:09,7,5,2,FIN,08:56:36,15,
545,Doug Guthrie,United States,Male,M55-59,10:22:18,63,61,2,00:45:11,361,304,17,05:40:26,144,139,5,03:43:17,44,40,2,00:8:03,507,372,19,00:5:21,215,171,7,FIN,08:59:20,16,
121,Blaine Lints,United States,Male,M30-34,08:59:35,4,4,1,00:39:48,45,42,6,04:44:03,3,3,1,03:28:02,20,19,5,00:4:51,74,61,9,00:2:51,18,15,2,FIN,08:59:35,17,
93,Matthew Davidson,United States,Male,M45-49,09:34:06,23,23,3,00:42:13,136,122,12,05:13:30,30,30,6,03:30:53,23,22,3,00:4:46,66,55,10,00:2:44,16,14,3,FIN,08:59:42,18,
352,Roger Menta,Canada,Male,M40-44,09:18:45,12,12,5,00:44:05,257,221,42,04:56:46,9,9,4,03:29:26,21,20,5,00:5:23,120,92,21,00:3:05,30,23,5,FIN,09:01:02,19,
353,Jacquie Allgire,United States,Female,F55-59,11:36:08,219,31,1,00:47:02,561,108,8,06:26:39,510,69,3,04:13:40,128,21,1,00:4:50,72,13,2,00:3:57,92,18,3,FIN,09:01:27,20,1
620,Luis Gely,Puerto Rico,Male,M65-69,11:58:12,299,250,3,00:48:09,669,529,9,06:07:10,329,295,4,04:47:33,313,252,3,00:10:17,842,603,9,00:5:03,183,144,1,FIN,09:02:23,21,
191,Seth Cooke,United States,Male,M40-44,09:21:52,13,13,6,00:38:17,20,19,5,05:10:00,25,25,7,03:23:57,13,12,3,00:5:27,131,98,24,00:4:10,105,84,19,FIN,09:04:03,22,
1063,Wade Kammel,United States,Male,M35-39,09:10:29,9,9,3,00:39:51,48,45,8,05:06:55,21,21,7,03:16:50,8,8,4,00:3:44,13,12,3,00:3:09,37,29,5,FIN,09:04:42,23,
995,Lindsey Amerson,United States,Female,F40-44,10:25:40,70,3,1,00:43:30,211,26,4,05:33:42,107,4,2,03:59:57,77,6,1,00:5:31,139,36,8,00:2:59,23,5,2,FIN,09:04:46,24,1
72,Brent Weber,United States,Male,M45-49,09:39:50,28,28,4,00:42:49,168,147,17,05:19:44,42,42,7,03:30:32,22,21,2,00:4:07,23,22,3,00:2:39,14,12,2,FIN,09:05:06,25,
993,Matt Marion,United States,Female,M55-59,10:29:09,74,4,3,00:46:06,455,82,23,05:32:20,94,3,4,04:01:22,83,8,4,00:6:04,196,50,5,00:3:16,45,9,4,FIN,09:05:17,26,
1101,Carl Rysdon,United States,Male,M55-59,10:29:12,75,71,4,00:41:21,101,91,4,05:59:24,265,243,7,03:38:34,34,33,1,00:5:15,110,85,3,00:4:38,144,115,6,FIN,09:05:19,27,
139,Clemens Rich,Switzerland,Male,M35-39,09:13:51,10,10,4,00:44:00,247,213,36,05:06:07,19,19,6,03:16:27,7,7,3,00:3:42,12,11,2,00:3:35,68,55,9,FIN,09:08:02,28,
1098,Kyle Gabbard,United States,Male,M18-24,09:25:46,15,15,1,00:45:42,416,346,14,05:05:52,18,18,2,03:25:10,14,13,1,00:4:47,67,56,3,00:4:15,113,90,5,FIN,09:08:40,29,
127,Chad Jarrett,United States,Male,M50-54,10:09:50,45,45,2,00:42:01,127,113,12,05:26:27,63,62,2,03:50:57,54,50,4,00:6:02,189,141,18,00:4:22,118,95,7,FIN,09:08:58,30,
1252,Richard Jansik,United States,Male,M60-64,11:04:29,136,121,2,00:45:28,392,328,12,05:26:16,62,61,1,04:42:14,280,227,7,00:5:42,157,119,3,00:4:49,162,128,2,FIN,09:08:59,31,
967,Adam Kuklinski,Poland,Male,M55-59,10:37:21,83,79,5,00:42:51,172,150,6,05:30:32,82,80,2,04:13:04,124,105,5,00:5:30,137,102,4,00:5:24,217,173,8,FIN,09:12:23,32,
527,Ginny Crumley,United States,Female,F65-69,13:29:33,646,122,1,00:49:51,837,182,3,07:04:21,876,158,1,05:17:48,529,110,1,00:10:49,925,253,3,00:6:44,382,100,1,FIN,09:12:45,33,1
293,Aku Oja,Finland,Male,M40-44,09:33:25,21,21,7,00:41:42,115,102,20,05:14:11,33,33,8,03:30:55,24,23,6,00:4:31,50,44,13,00:2:06,5,4,1,FIN,09:15:14,34,
116,Dan Funk,United States,Male,M50-54,10:17:29,55,55,3,00:42:05,130,116,13,05:31:43,88,86,8,03:54:36,64,60,5,00:5:05,98,77,6,00:4:01,94,75,4,FIN,09:15:51,35,
175,Bill Lewis,United States,Male,M60-64,11:13:36,160,141,3,00:52:21,1041,794,42,05:40:50,146,140,3,04:22:56,161,131,4,00:11:33,1036,756,34,00:5:56,279,216,8,FIN,09:16:31,36,
159,Kristen Larue,United States,Female,F30-34,10:20:30,60,1,1,00:44:11,267,39,4,05:46:20,169,11,1,03:40:07,39,2,1,00:5:04,96,21,3,00:4:48,160,34,3,FIN,09:17:01,37,1
107,Steve Sherling,United States,Male,M60-64,11:14:12,165,145,4,00:43:54,237,203,7,06:08:33,338,304,9,04:08:16,106,92,3,00:7:38,437,324,9,00:5:50,265,208,7,FIN,09:17:01,38,
300,Sukhi Muker,Canada,Male,M50-54,10:20:20,59,59,4,00:43:13,190,167,24,05:32:25,95,92,9,03:55:13,67,63,6,00:5:20,113,88,9,00:4:08,100,80,5,FIN,09:18:25,39,
663,Michelle Brost,United States,Female,F50-54,11:27:26,196,26,2,00:43:43,227,32,1,06:03:39,303,29,2,04:31:32,214,41,5,00:4:43,59,7,1,00:3:49,80,15,1,FIN,09:18:32,40,1
1278,Sage Costen,United States,Male,M18-24,09:36:42,24,24,2,00:40:05,56,52,2,05:05:33,16,16,1,03:43:27,45,41,3,00:4:02,19,18,1,00:3:35,70,57,4,FIN,09:19:17,41,
745,Mark Swanlund,United States,Male,M60-64,11:16:59,170,148,5,00:39:37,41,38,2,06:01:55,284,259,8,04:24:05,171,139,5,00:6:18,226,170,4,00:5:04,187,147,4,FIN,09:19:19,42,
79,Jesus Angulo,United States,Male,M40-44,09:38:22,27,27,8,00:39:48,46,43,7,05:17:14,38,38,9,03:33:19,25,24,7,00:4:09,24,23,7,00:3:52,85,69,16,FIN,09:20:01,43,
515,Parker Jackson,United States,Male,M18-24,09:37:43,26,26,3,00:42:25,152,133,7,05:22:29,49,49,3,03:25:25,15,14,2,00:4:19,38,33,2,00:3:06,32,25,2,FIN,09:20:16,44,
110,Ashley Blake,United States,Female,F40-44,10:43:37,95,7,2,00:47:50,637,131,25,05:23:56,55,1,1,04:23:40,169,32,6,00:4:15,30,2,1,00:3:55,87,17,4,FIN,09:20:23,45,1
433,Steven Brandes,United States,Male,M35-39,09:26:27,16,16,5,00:40:41,73,67,11,05:18:11,39,39,11,03:19:26,9,9,5,00:4:34,52,46,10,00:3:35,69,56,10,FIN,09:20:30,46,
956,Gerardo Delvillar,Mexico,Male,M35-39,09:27:12,17,17,6,00:44:02,252,217,38,05:01:25,12,12,3,03:35:07,27,26,9,00:4:16,34,30,6,00:2:22,10,8,2,FIN,09:21:14,47,
78,Nestor Salvado,United States,Male,M50-54,10:23:32,66,64,5,00:45:20,377,316,44,05:41:08,148,141,16,03:48:47,51,47,2,00:4:42,57,51,2,00:3:34,65,52,2,FIN,09:21:18,48,
83,Yorick Groen,Netherlands,Male,M35-39,09:28:23,19,19,7,00:43:27,207,182,30,05:08:49,24,24,8,03:27:09,18,17,7,00:5:17,111,86,16,00:3:41,74,60,13,FIN,09:22:24,49,
630,Pam Glattes,United States,Female,F55-59,12:03:43,312,51,2,00:46:27,493,92,6,06:35:58,602,88,7,04:29:04,203,40,2,00:6:22,236,58,6,00:5:52,269,60,6,FIN,09:22:54,50,1
608,Alain Berry,Canada,Female,M60-64,11:21:28,177,24,6,00:45:59,447,80,15,06:12:19,372,43,10,04:07:33,100,12,2,00:8:43,617,166,15,00:6:54,405,110,12,FIN,09:23:01,51,
56,Michael Witt,United States,Male,M65-69,12:26:06,395,327,4,00:45:04,350,295,5,06:01:48,282,257,3,05:26:56,602,472,7,00:5:40,154,116,1,00:6:38,369,276,2,FIN,09:23:27,52,
1054,Stephen Lewtas,Canada,Male,M30-34,09:25:14,14,14,2,00:40:22,65,59,9,05:17:12,37,37,7,03:19:45,10,10,1,00:4:29,48,42,5,00:3:26,54,43,7,FIN,09:25:14,53,
1043,Vaughn Rightley,United States,Male,M50-54,10:29:00,73,70,6,00:42:05,131,117,14,05:35:56,113,109,12,04:00:35,78,72,7,00:5:38,147,109,11,00:4:46,156,123,10,FIN,09:26:13,54,
104,Bonnie Ritchotte,United States,Female,F50-54,11:37:51,225,33,3,00:48:05,661,139,14,06:33:06,574,82,9,03:59:11,73,5,1,00:10:43,916,250,34,00:6:46,388,103,16,FIN,09:27:00,55,1
123,Dan Holmes,Canada,Male,M50-54,10:30:22,76,72,7,00:40:30,68,62,4,05:26:40,65,64,3,04:12:58,123,104,9,00:5:08,101,79,7,00:5:06,191,151,14,FIN,09:27:27,56,
959,Michael Ensslin,United States,Male,M60-64,11:28:17,198,172,7,00:46:23,487,399,17,05:51:55,209,189,5,04:35:54,241,195,6,00:8:26,567,418,12,00:5:41,250,196,6,FIN,09:28:39,57,
469,Nick Abbinanti,United States,Male,M50-54,10:32:30,81,77,8,00:42:23,145,128,18,05:28:27,73,71,5,04:08:26,107,93,8,00:6:10,207,155,23,00:7:03,430,313,43,FIN,09:29:22,58,
1338,Mitchel Jankowski,United States,Male,M30-34,09:30:42,20,20,3,00:42:04,129,115,20,05:13:19,28,28,3,03:27:22,19,18,4,00:4:28,47,41,4,00:3:29,57,45,8,FIN,09:30:42,59,
147,Garth Behrje,United States,Male,M50-54,10:34:04,82,78,9,00:45:31,397,333,49,05:41:59,150,143,17,03:49:15,52,48,3,00:7:57,485,358,50,00:9:21,747,537,66,FIN,09:30:47,60,
389,Thiago Cardoso,Brazil,Male,M45-49,10:08:00,41,41,5,00:46:11,465,381,62,05:07:53,22,22,3,04:03:54,90,81,12,00:5:37,146,108,20,00:4:25,124,101,22,FIN,09:31:34,61,
414,Andy Patton,United States,Male,M45-49,10:08:17,42,42,6,00:38:35,24,23,4,05:36:55,121,117,25,03:43:16,43,39,6,00:4:41,56,50,8,00:4:50,164,130,27,FIN,09:31:50,62,
1394,Hollie Swidarski,United States,Female,F30-34,10:38:10,87,6,2,00:42:14,137,15,2,06:00:28,270,24,5,03:42:51,42,4,2,00:5:48,166,43,6,00:6:49,393,104,11,FIN,09:32:52,63,1
103,Charlotte O'Neill,United States,Female,F50-54,11:45:10,250,37,4,00:48:19,687,145,16,06:22:14,471,60,7,04:23:13,163,31,4,00:6:55,324,84,11,00:4:31,133,26,3,FIN,09:32:56,64,1
102,Sara Randolph,United States,Female,F45-49,11:14:37,167,22,1,00:41:06,88,8,2,06:18:09,433,54,5,04:05:19,96,10,1,00:4:49,71,12,2,00:5:14,207,42,3,FIN,09:33:29,65,1
1090,Scott Chuda,United States,Male,M35-39,09:39:55,29,29,8,00:42:00,126,112,21,05:10:22,26,26,9,03:38:45,35,34,13,00:5:14,109,84,15,00:3:34,67,54,8,FIN,09:33:49,66,
1330,Erin Mckee,United States,Female,F35-39,10:48:07,104,8,1,00:44:12,268,40,6,05:47:15,177,14,2,04:06:53,99,11,1,00:5:22,117,28,4,00:4:26,126,24,3,FIN,09:34:37,67,1
1288,Grant Keaffaber,United States,Male,M25-29,09:40:06,30,30,2,00:39:18,34,31,11,05:13:25,29,29,2,03:38:23,33,32,2,00:4:39,54,48,7,00:4:21,117,94,9,FIN,09:35:31,68,
691,Rafael Carmona,Mexico,Male,M45-49,10:12:12,47,47,7,00:44:24,289,246,38,05:33:26,102,99,19,03:42:08,41,38,5,00:7:00,337,252,43,00:5:14,202,162,31,FIN,09:35:31,69,
784,Phil Dull,United States,Male,M65-69,12:42:22,457,380,5,00:49:33,814,638,12,06:39:28,642,546,9,04:49:51,335,269,4,00:13:31,1206,883,19,00:9:59,822,592,13,FIN,09:35:44,70,
94,Amy Nieto,United States,Female,F55-59,12:20:18,376,65,3,00:45:39,410,69,5,06:30:55,548,75,5,04:47:19,310,61,3,00:7:57,486,128,13,00:8:28,622,174,14,FIN,09:35:48,71,1
410,Maike Holthuijzen,United States,Female,F35-39,10:50:24,112,11,2,00:43:41,221,30,5,05:46:38,171,12,1,04:09:08,111,17,2,00:5:31,140,37,8,00:5:26,223,47,6,FIN,09:36:38,72,1
119,George Ryan,United States,Male,M65-69,12:43:43,460,383,6,00:48:50,745,589,11,06:22:03,470,411,6,05:14:48,509,404,5,00:9:34,728,531,7,00:8:28,623,449,8,FIN,09:36:45,73,
122,Lishan Sharples,Canada,Male,M30-34,09:37:02,25,25,4,00:41:04,87,80,12,05:20:27,45,45,8,03:26:56,17,16,3,00:5:03,95,75,12,00:3:32,62,49,9,FIN,09:37:02,74,
87,Frederic Nolin,Canada,Male,M40-44,09:56:20,34,34,9,00:43:22,203,179,32,05:05:45,17,17,6,03:58:30,72,68,17,00:3:31,6,6,2,00:5:13,201,161,32,FIN,09:37:25,75,
787,Neil Samson,United States,Male,M40-44,09:57:41,36,36,10,00:40:53,78,72,17,05:31:39,87,85,21,03:36:58,32,31,8,00:4:17,35,31,10,00:3:55,88,71,17,FIN,09:38:44,76,
286,Michael Bennett,United States,Male,M60-64,11:41:28,237,201,8,00:38:35,25,24,1,05:53:03,215,195,6,04:59:44,405,319,10,00:5:09,104,81,2,00:4:56,173,136,3,FIN,09:39:33,77,
327,Jeremiah Duggan,United States,Male,M45-49,10:16:51,53,53,8,00:42:50,170,148,18,05:26:32,64,63,11,03:59:21,74,69,9,00:4:40,55,49,7,00:3:28,55,44,9,FIN,09:39:54,78,
366,Jenn Splinter,United States,Female,F40-44,11:07:37,143,17,3,00:45:19,376,61,12,06:06:24,324,34,8,04:07:58,103,14,3,00:5:10,105,24,4,00:2:46,17,3,1,FIN,09:41:17,79,1
90,Carrie Van Quathem,United States,Female,F50-54,11:56:33,291,47,5,00:44:05,259,37,3,06:14:04,387,46,6,04:45:41,298,58,7,00:6:29,256,66,4,00:6:14,311,75,9,FIN,09:42:11,80,1
438,Hannah Nelson,Singapore,Female,F25-29,10:49:46,109,10,1,00:43:50,233,34,5,05:50:02,199,19,2,04:08:37,108,15,2,00:4:15,31,3,2,00:3:01,25,6,2,FIN,09:42:15,81,1
480,Ernesto Quezada,United States,Male,M45-49,10:19:31,58,58,9,00:44:23,285,243,36,05:25:29,58,57,9,04:01:45,85,76,10,00:4:48,68,57,11,00:3:06,31,24,6,FIN,09:42:24,82,
939,Sarah Moody,United Kingdom,Female,F45-49,11:28:25,199,27,2,00:48:37,724,154,18,06:10:49,360,41,3,04:13:20,126,20,2,00:8:35,595,160,19,00:7:04,434,120,11,FIN,09:45:13,83,1
338,Nancy Dickerson,United States,Female,F60-64,13:31:38,654,125,1,00:45:45,421,73,1,07:05:30,891,163,3,05:23:05,566,118,1,00:8:32,586,157,3,00:8:46,670,190,3,FIN,09:45:50,84,1
1197,Eric Tippy,United States,Male,M30-34,09:46:03,31,31,5,00:41:31,105,94,16,05:33:08,100,97,13,03:22:03,11,11,2,00:6:12,212,159,23,00:3:09,38,30,4,FIN,09:46:03,85,
1237,Katrin Ades,United States,Female,F40-44,11:13:07,159,19,4,00:45:21,380,62,13,06:03:29,300,28,6,04:12:57,122,19,4,00:6:06,200,52,11,00:5:14,206,41,8,FIN,09:46:04,86,1
1242,Jamie Brabant,United States,Female,F40-44,11:13:49,161,20,5,00:46:08,461,84,16,06:00:07,269,23,4,04:16:21,137,26,5,00:6:29,254,65,14,00:4:44,152,32,5,FIN,09:46:41,87,1
812,Julie Travers,United States,Female,F30-34,10:54:34,118,12,3,00:46:25,490,91,12,05:49:51,196,18,3,04:09:03,110,16,3,00:5:03,92,19,2,00:4:11,108,22,2,FIN,09:47:36,88,1
1397,Nermin Hairlahovic,Canada,Male,M45-49,10:25:06,68,66,10,00:46:07,456,374,59,05:28:03,71,69,14,04:03:37,88,79,11,00:4:16,32,29,5,00:3:02,28,22,5,FIN,09:47:39,89,
346,Lucas Pardew,United States,Male,M35-39,09:54:04,32,32,9,00:41:24,102,92,18,05:24:11,56,55,17,03:35:46,29,28,10,00:7:48,459,339,60,00:4:56,174,137,31,FIN,09:47:49,90,
1113,Andy Grant,United States,Male,M35-39,09:56:04,33,33,10,00:38:38,26,25,5,04:55:03,6,6,1,04:15:45,136,111,27,00:3:30,5,5,1,00:3:08,35,27,4,FIN,09:49:48,91,
657,Dennis Breen,United States,Male,M50-54,10:56:00,119,107,10,00:42:19,142,125,16,05:34:59,112,108,11,04:30:12,207,167,12,00:5:12,107,82,8,00:3:18,50,40,1,FIN,09:50:31,92,
161,Joshua Stephens,United States,Male,M35-39,09:56:59,35,35,11,00:44:13,274,234,41,05:25:52,60,59,18,03:36:48,31,30,12,00:5:00,87,71,14,00:5:06,192,152,32,FIN,09:50:42,93,
582,Prashant Patel,United States,Male,M45-49,10:28:27,71,68,11,00:44:47,321,275,41,05:39:42,137,133,31,03:51:41,58,54,7,00:6:45,298,223,40,00:5:33,232,182,32,FIN,09:50:48,94,
