Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
110,Janette Dommer,Denmark,Female,F50-54,09:16:17,77,2,1,01:01:02,168,9,2,04:49:52,136,3,1,03:16:56,92,4,1,00:4:45,96,7,1,00:3:43,79,3,1,FIN,07:31:58,1,1
1083,Joanna Soltysiak-Vrebac,Poland,Female,F30-34,08:55:22,47,1,1,00:58:06,102,4,3,04:45:17,92,1,1,03:05:02,49,1,1,00:4:06,46,1,1,00:2:51,7,1,1,FIN,08:00:35,2,1
1965,Alessandro Borgialli,Italy,Male,M50-54,08:59:08,52,51,1,00:52:53,41,41,1,04:42:27,78,78,1,03:13:02,66,65,2,00:5:54,310,286,22,00:4:52,297,273,21,FIN,08:05:19,3,
872,Franco Prezzi,Italy,Male,M55-59,09:21:49,92,90,1,00:59:28,126,119,5,04:51:28,154,151,4,03:19:54,113,108,1,00:5:26,208,195,7,00:5:32,448,415,19,FIN,08:06:55,4,
602,Peter Weiss,Germany,Male,M55-59,09:26:14,107,105,2,01:00:41,158,150,9,04:45:44,101,100,2,03:27:59,185,178,2,00:6:32,493,454,26,00:5:17,376,349,12,FIN,08:10:45,5,
886,Andreas Niedrig,Germany,Male,M55-59,09:28:16,113,111,3,00:51:17,31,31,2,04:36:15,45,45,1,03:49:00,421,387,18,00:5:39,251,233,9,00:6:05,602,550,29,FIN,08:12:31,6,
101,Carlo Meier,Switzerland,Male,M65-69,10:52:41,576,545,1,01:16:57,1207,1087,4,05:13:44,440,429,1,04:09:35,722,654,1,00:6:26,463,428,2,00:5:58,577,528,1,FIN,08:12:54,7,
694,Tom Hohenadl,Germany,Male,M25-29,08:17:17,18,18,1,00:50:18,14,14,2,04:24:11,25,25,2,02:55:12,25,25,2,00:3:57,37,37,1,00:3:38,67,65,12,FIN,08:13:21,8,
218,Wilhelm Schweiger,Germany,Male,M60-64,09:59:57,240,232,1,01:04:41,340,317,6,05:05:03,321,315,1,03:38:50,278,260,2,00:5:47,283,262,2,00:5:35,462,429,9,FIN,08:15:40,9,
127,Gudrun Steiner,Austria,Female,F40-44,09:32:23,129,4,1,01:03:25,260,15,4,05:03:39,290,5,1,03:17:51,95,5,2,00:4:07,49,2,1,00:3:21,39,2,1,FIN,08:18:22,10,1
2209,Hans-Jörg Stolz,Germany,Male,M18-24,08:34:26,25,25,1,00:57:39,93,90,5,04:33:04,32,32,2,02:54:58,22,22,1,00:4:29,72,67,3,00:4:16,159,149,9,FIN,08:18:53,11,
512,Paul Madonia,Canada,Male,M70-74,12:05:46,1103,997,1,01:16:04,1149,1035,1,06:21:13,1572,1418,3,04:08:06,697,631,1,00:10:05,1446,1263,4,00:10:19,1572,1372,4,FIN,08:19:02,12,
879,Gennaro Magliulo,United States,Male,M80-84,14:58:59,1838,1584,1,01:57:14,2048,1756,1,06:58:55,1859,1632,1,05:35:49,1692,1458,1,00:14:38,1936,1663,1,00:12:22,1799,1554,1,FIN,08:19:23,13,
678,Albert Redolad Canalda,Spain,Male,M18-24,08:35:43,29,29,2,00:52:07,39,39,2,04:32:48,31,31,1,03:02:32,41,41,2,00:3:56,35,35,2,00:4:20,168,157,10,FIN,08:20:08,14,
135,Mike Schifferle,Switzerland,Male,M50-54,09:18:18,84,82,2,01:00:26,146,139,6,04:51:31,155,152,9,03:13:36,70,69,4,00:7:18,715,649,76,00:5:27,422,391,38,FIN,08:22:34,15,
217,Satu Suuronen,Finland,Female,F40-44,09:38:55,156,5,2,01:09:56,669,55,7,05:03:43,293,6,2,03:16:48,90,3,1,00:4:40,87,6,3,00:3:48,91,4,2,FIN,08:24:03,16,1
1637,Graziano Bortolotto,Italy,Male,M50-54,09:22:09,94,92,3,01:04:14,307,289,23,04:53:55,181,177,14,03:13:29,69,68,3,00:5:36,239,222,14,00:4:55,309,285,23,FIN,08:26:02,17,
871,Pizza Natascia,Italy,Female,F50-54,10:23:34,364,12,2,01:08:39,583,49,6,05:30:12,727,27,3,03:33:16,231,12,3,00:6:44,547,45,8,00:4:43,257,22,4,FIN,08:26:38,18,1
122,Klaus Rohracker,Germany,Male,M60-64,10:13:27,308,298,2,01:10:29,704,647,14,05:22:18,577,560,7,03:30:21,212,203,1,00:5:10,159,147,1,00:5:10,351,326,6,FIN,08:26:49,19,
158,Jonas Weller,Germany,Male,M25-29,08:32:37,23,23,2,00:55:22,69,68,9,04:24:44,26,26,3,03:04:55,48,48,5,00:4:01,42,42,2,00:3:35,59,57,11,FIN,08:28:34,20,
858,Miroslav Veselý,Czechia,Male,M60-64,10:17:55,323,313,3,01:05:34,378,349,7,05:23:06,592,572,8,03:39:17,282,263,3,00:6:13,406,373,5,00:3:45,83,80,1,FIN,08:30:31,21,
142,Alessandro Gattamorta,Italy,Male,M55-59,09:49:13,193,188,4,01:12:57,907,825,69,04:50:58,148,145,3,03:36:37,258,242,5,00:4:50,112,103,2,00:3:50,98,94,2,FIN,08:30:40,22,
1219,Daniel Bluff,United Kingdom,Male,M25-29,08:34:49,27,27,3,00:57:41,94,91,10,04:35:59,44,44,6,02:53:37,19,19,1,00:4:20,58,55,5,00:3:12,20,19,2,FIN,08:30:44,23,
286,Giuseppe Anatriello,Italy,Male,M45-49,09:03:38,56,55,1,01:00:41,157,149,11,04:48:20,116,115,6,03:05:07,50,49,1,00:5:18,183,171,18,00:4:12,153,143,13,FIN,08:31:04,24,
203,Denise Hiemann,Germany,Female,F30-34,09:29:28,119,3,2,01:04:41,342,24,9,04:52:47,171,4,2,03:23:28,152,6,3,00:4:21,63,4,2,00:4:09,145,9,5,FIN,08:31:12,25,1
851,Metka Jug,Slovenia,Female,F50-54,10:30:13,406,17,3,01:07:29,500,40,5,05:32:46,766,33,5,03:39:35,284,20,5,00:5:46,282,21,3,00:4:37,226,19,3,FIN,08:32:03,26,1
185,Stephan Schwarz,Germany,Male,M40-44,08:49:31,37,37,1,01:00:41,156,148,18,04:41:06,66,66,6,03:00:13,33,33,5,00:4:41,88,82,10,00:2:51,6,6,1,FIN,08:32:43,27,
451,Ilya Kosov,Unknown,Male,M35-39,08:38:27,31,31,1,00:51:39,32,32,1,04:34:34,37,37,3,03:03:13,42,42,5,00:5:13,168,156,26,00:3:49,92,88,10,FIN,08:33:00,28,
201,Andreas Trondl,Austria,Male,M50-54,09:31:24,124,121,4,01:02:43,233,220,14,04:49:18,132,130,4,03:30:53,216,207,15,00:5:00,134,125,8,00:3:31,53,51,1,FIN,08:34:22,29,
103,Olivier Lange,Belgium,Male,M45-49,09:07:27,60,59,2,01:07:18,485,449,53,04:41:42,71,71,2,03:10:42,64,63,4,00:4:09,50,48,2,00:3:35,61,59,3,FIN,08:34:39,30,
176,Andrew Ackerley,United Kingdom,Male,M50-54,09:32:34,131,127,5,01:08:31,573,527,60,05:02:17,270,266,25,03:12:22,65,64,1,00:4:49,107,100,3,00:4:34,217,199,14,FIN,08:35:25,31,
2057,Dario Chitti,Italy,Male,M30-34,08:35:36,28,28,1,00:50:53,27,27,1,04:33:14,33,33,1,03:01:31,37,37,5,00:6:40,526,484,62,00:3:18,30,29,2,FIN,08:35:36,32,
117,Mauricio Lehoczki,Brazil,Male,M50-54,09:32:53,134,130,6,01:05:14,364,338,30,04:57:34,219,215,19,03:21:12,127,122,7,00:4:45,97,90,2,00:4:08,140,133,8,FIN,08:35:42,33,
582,Mihkel Sarv,Estonia,Male,M30-34,08:35:58,30,30,2,01:00:31,151,143,27,04:38:28,54,54,6,02:48:08,11,11,1,00:5:03,142,131,17,00:3:47,88,85,11,FIN,08:35:58,34,
445,Tahsin Özgür,Turkey,Male,M40-44,08:53:02,43,43,2,01:03:28,262,247,39,04:39:47,63,63,4,02:59:16,29,29,3,00:6:21,443,409,75,00:4:10,149,139,22,FIN,08:36:08,35,
200,Coco Wieland,Germany,Female,F50-54,10:35:50,444,18,4,01:13:48,968,90,13,05:30:53,741,29,4,03:39:04,279,19,4,00:6:27,475,37,6,00:5:38,479,35,5,FIN,08:36:36,36,1
984,Joren Van Dorpe,Belgium,Male,M18-24,08:52:51,41,41,3,00:58:21,106,101,7,04:41:57,73,73,5,03:03:37,45,45,3,00:5:15,174,162,6,00:3:40,72,70,4,FIN,08:36:45,37,
1558,Sylvain Leclancher,France,Male,M50-54,09:34:14,138,134,7,01:04:58,356,331,27,05:03:52,296,290,27,03:15:37,85,83,5,00:4:50,109,102,4,00:4:58,322,298,26,FIN,08:36:55,38,
1415,Zeljka Saban,Croatia,Female,F40-44,09:55:20,225,7,3,00:54:08,60,1,1,05:10:23,395,11,4,03:41:04,307,24,5,00:4:17,56,3,2,00:5:28,424,32,5,FIN,08:38:21,39,1
1151,David Colgan,Italy,Male,M40-44,08:55:28,48,47,3,01:12:03,828,754,136,04:38:20,53,53,2,02:54:32,21,21,2,00:5:35,235,218,34,00:4:58,319,295,49,FIN,08:38:29,40,
790,Christophe Laporte,France,Male,M50-54,09:36:22,148,144,8,01:07:46,524,482,53,04:53:11,177,173,13,03:25:47,170,163,12,00:5:49,296,274,20,00:3:49,93,89,5,FIN,08:38:50,41,
1221,Juergen Klindworth,Germany,Male,M60-64,10:28:38,397,383,4,01:03:59,295,277,4,05:14:02,444,433,3,03:57:55,549,500,6,00:6:24,454,419,6,00:6:19,655,596,14,FIN,08:39:22,42,
244,Fabrizio Terrinoni,Italy,Male,M55-59,10:00:17,241,233,5,01:03:58,293,275,16,05:01:10,256,252,8,03:46:28,386,355,14,00:5:04,143,132,3,00:3:37,65,63,1,FIN,08:40:15,43,
129,James Hall,United Kingdom,Male,M30-34,08:40:50,32,32,3,00:56:53,84,81,12,04:41:56,72,72,10,02:52:55,18,18,3,00:5:16,175,163,20,00:3:50,95,91,12,FIN,08:40:50,44,
263,Matteo Sclosa,Italy,Male,M45-49,09:15:10,75,74,3,01:06:01,399,369,46,04:46:59,108,107,5,03:13:06,67,66,5,00:5:05,148,137,12,00:3:59,117,112,10,FIN,08:41:54,45,
213,Alessandro Panato,Italy,Male,M30-34,08:42:15,33,33,4,00:53:00,42,42,3,04:36:29,47,47,4,03:03:27,43,43,6,00:4:44,91,85,11,00:4:36,223,205,34,FIN,08:42:15,46,
707,Marco Schleyer,Germany,Male,M50-54,09:40:34,161,156,9,01:05:11,363,337,29,05:01:35,260,256,24,03:23:47,157,151,9,00:4:59,129,120,7,00:5:01,328,303,27,FIN,08:42:37,47,
140,Raymond Szostek,Belgium,Male,M60-64,10:33:23,424,407,5,01:15:14,1088,983,25,05:17:34,506,492,5,03:49:06,423,389,5,00:6:44,548,503,8,00:4:44,265,243,3,FIN,08:43:18,48,
