Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
1430,Jean-Claude Fontaine,Canada,Male,M70-74,12:25:10,440,335,1,01:25:09,1061,753,1,06:17:54,502,401,1,04:23:40,380,276,1,00:10:45,926,626,3,00:7:42,721,495,2,FIN,08:32:22,1,1
1277,Stefan Judex,United States,Male,M55-59,10:10:56,42,26,1,01:02:23,108,74,6,05:17:48,39,29,1,03:41:56,82,56,2,00:5:23,100,50,3,00:3:26,87,47,2,FIN,08:49:29,2,1
258,Miranda Tomenson,Canada,Female,F35-39,09:57:43,23,12,1,00:53:57,7,6,1,05:27:55,72,16,1,03:28:30,40,17,2,00:4:27,29,18,1,00:2:53,43,22,2,FIN,08:49:56,3,
559,Kathleen Pallardy,United States,Female,F35-39,10:04:15,34,14,2,01:01:23,89,29,3,05:29:26,80,18,2,03:22:24,26,13,1,00:7:01,291,113,11,00:4:00,142,62,5,FIN,08:55:43,4,
462,Stephanie Disciglio,Canada,Female,F55-59,11:29:07,212,48,1,01:18:24,742,208,13,05:54:07,246,47,1,04:06:22,226,61,2,00:6:56,280,109,5,00:3:19,76,35,3,FIN,08:55:59,5,
257,Julie Smith,United States,Female,F50-54,11:03:31,139,34,1,01:11:10,390,105,6,05:36:19,123,24,2,04:05:50,223,60,4,00:4:57,62,30,1,00:5:15,305,103,7,FIN,08:59:06,6,
1397,Chelsea Bingham,United States,Female,F30-34,10:02:28,31,13,1,00:54:53,14,9,1,05:26:52,69,15,1,03:33:18,52,20,2,00:4:45,51,26,1,00:2:39,23,14,1,FIN,09:00:50,7,
260,Elliot-Olivier Pellerin,Canada,Male,M35-39,09:06:44,1,1,1,01:03:35,133,92,11,04:47:33,2,2,2,03:07:06,2,2,1,00:5:47,140,73,11,00:2:42,25,11,2,FIN,09:00:59,8,1
514,Nathalie Boivin,Canada,Female,F60-64,12:30:27,464,115,1,01:20:08,829,238,6,06:40:46,778,178,3,04:08:43,237,66,1,00:11:35,1034,331,13,00:9:14,994,324,14,FIN,09:01:40,9,
1222,Eric Abecassis,United States,Male,M55-59,10:25:46,61,41,2,01:22:14,929,663,60,05:31:09,87,69,3,03:21:08,24,13,1,00:6:22,204,120,5,00:4:54,249,161,7,FIN,09:02:21,10,1
402,Guy Hachey,Canada,Male,M65-69,12:05:15,346,269,1,01:10:54,374,274,2,05:58:27,279,226,2,04:39:22,542,391,1,00:8:40,549,369,4,00:7:52,741,508,5,FIN,09:07:42,11,1
193,Romain Browaeys,France,Male,M35-39,09:15:54,3,2,2,01:01:03,85,58,6,04:54:06,3,3,3,03:13:41,8,4,2,00:4:34,35,17,3,00:2:29,13,6,1,FIN,09:10:03,12,1
310,Pierre Heynemand,Canada,Male,M55-59,10:34:59,74,54,3,01:01:51,93,64,5,05:21:10,49,37,2,04:02:01,199,145,3,00:4:48,53,27,1,00:5:09,290,193,9,FIN,09:10:20,13,
1549,Jerome Nolette,Canada,Female,M45-49,09:48:41,18,9,1,01:05:38,183,56,10,05:24:47,64,14,2,03:09:15,4,1,1,00:5:33,117,57,4,00:3:27,88,41,4,FIN,09:13:25,14,1
1291,Alain Aubuchon,Canada,Male,M60-64,11:09:59,156,120,1,01:10:06,335,246,7,05:43:12,161,129,1,04:05:07,218,159,1,00:6:12,184,105,2,00:5:23,331,221,4,FIN,09:13:32,15,1
313,Pamela Espinoza,Chile,Female,F45-49,10:51:29,109,28,1,01:07:22,238,67,4,05:42:27,158,32,1,03:51:46,131,37,3,00:5:08,77,37,2,00:4:45,224,84,13,FIN,09:13:49,16,
196,Marco Cote,Canada,Male,M50-54,10:17:09,52,35,1,01:12:45,456,331,49,05:07:28,11,7,1,03:46:23,99,68,3,00:5:57,157,86,12,00:4:36,205,127,13,FIN,09:15:33,17,1
218,John Butcher,United States,Male,M30-34,09:17:03,4,3,1,00:58:38,52,35,7,05:04:48,8,5,2,03:07:03,1,1,1,00:4:19,25,9,5,00:2:16,9,4,2,FIN,09:17:03,18,1
1032,Colette Hubner,Canada,Female,F50-54,11:27:42,208,47,2,01:13:28,481,137,9,06:12:16,420,85,7,03:48:05,110,32,1,00:7:58,449,154,13,00:5:56,415,134,9,FIN,09:18:45,19,
236,Molly Zahr,United States,Female,F40-44,10:42:19,87,25,1,01:03:47,136,42,6,05:24:45,63,13,1,04:01:06,189,52,3,00:5:59,160,74,7,00:6:41,539,167,21,FIN,09:19:15,20,
1071,Alison Davies,Canada,Female,F45-49,10:58:19,129,31,2,01:15:55,603,173,21,05:54:58,248,48,3,03:37:12,65,24,1,00:6:44,249,99,14,00:3:30,92,43,4,FIN,09:19:38,21,
684,John Giffen,Canada,Male,M70-74,13:34:28,787,574,2,01:25:37,1085,769,2,06:41:33,786,606,2,05:08:37,799,563,2,00:10:43,916,619,2,00:7:56,752,515,3,FIN,09:20:01,22,
205,Stephanie Ray,Canada,Female,F45-49,10:59:12,132,33,3,01:10:08,336,90,10,05:45:53,182,38,2,03:53:17,142,39,4,00:5:34,119,58,6,00:4:21,174,74,11,FIN,09:20:23,23,
149,Connor Reynolds,United States,Male,M25-29,09:25:25,7,4,1,00:54:57,16,6,3,05:06:06,10,6,1,03:18:33,16,8,1,00:3:45,14,3,1,00:2:03,2,1,1,FIN,09:20:56,24,1
592,Russet Morrow,United States,Female,F50-54,11:33:37,231,55,3,01:06:08,197,61,2,06:17:04,493,100,8,04:00:51,187,51,3,00:6:22,203,84,5,00:3:11,63,29,2,FIN,09:23:33,25,
1067,Michael Lawrie,Canada,Male,M50-54,10:26:38,62,42,2,01:11:46,422,308,44,05:23:09,54,42,5,03:39:57,74,50,1,00:6:30,225,136,18,00:5:16,314,207,24,FIN,09:24:05,26,1
597,Shelley Wickenheiser,Canada,Female,F50-54,11:35:31,241,57,4,01:17:43,708,197,17,06:02:40,322,62,3,04:00:04,180,48,2,00:9:05,618,200,19,00:6:00,425,136,10,FIN,09:25:06,27,
1334,Jennifer Gibson,United States,Female,F60-64,13:06:46,664,171,2,01:16:03,615,177,3,06:40:04,768,174,2,04:46:45,601,169,3,00:11:32,1027,329,12,00:12:22,1320,415,18,FIN,09:27:53,28,
