Bib,Name,Country,gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Qualified
498,Alexander Milne,United Kingdom,Male,M18-24,09:39:45,1,1,1,00:55:04,10,9,1,05:13:43,4,4,1,03:19:42,12,8,1,00:8:20,59,45,3,00:2:56,27,18,1,FIN,09:22:14,1,
1414,Harald Funk,Germany,Male,M55-59,10:53:22,55,46,1,01:07:26,157,123,5,05:35:36,33,28,1,03:56:33,141,116,2,00:9:34,154,125,3,00:4:13,138,111,5,FIN,09:26:16,2,
114,Emma Yates,United Kingdom,Female,F50-54,11:41:14,135,22,1,01:19:31,688,115,7,06:26:13,334,38,2,03:35:54,39,10,1,00:12:24,563,101,6,00:7:14,720,123,9,FIN,09:29:45,3,1
120,Louella O'Herlihy,United Kingdom,Female,F50-54,11:45:36,153,25,2,01:16:56,544,95,6,06:21:25,274,31,1,03:54:25,122,22,2,00:8:28,65,18,1,00:4:21,150,30,1,FIN,09:33:18,4,1
829,Sabrina Roth,Germany,Female,F25-29,10:45:41,43,7,1,00:54:58,8,1,1,06:06:45,154,17,2,03:34:28,37,9,1,00:7:12,15,7,1,00:2:18,7,3,1,FIN,09:38:35,5,1
1598,Craig Chapman,United Kingdom,Male,M45-49,10:20:40,27,22,1,01:10:46,280,228,29,05:40:09,40,34,3,03:18:33,11,7,1,00:8:23,62,47,4,00:2:49,18,11,3,FIN,09:43:29,6,
461,Jo Zwaenepoel,Belgium,Male,M40-44,10:03:58,9,7,1,01:05:26,104,78,18,05:27:23,17,15,2,03:20:13,13,9,5,00:8:09,52,39,7,00:2:48,17,10,2,FIN,09:44:49,7,
155,William Davey,United Kingdom,Male,M30-34,09:45:24,2,2,1,00:55:07,13,11,1,05:17:47,8,7,3,03:21:30,15,11,4,00:7:11,14,8,4,00:3:50,99,77,17,FIN,09:45:24,8,
507,Quin Beech,United Kingdom,Male,M60-64,11:49:35,167,140,1,01:24:15,964,812,13,06:12:14,198,176,3,03:58:59,169,138,1,00:9:12,124,97,2,00:4:55,234,192,4,FIN,09:46:15,9,
1331,Mike Senior,United Kingdom,Male,M40-44,10:05:44,11,9,2,01:02:08,51,39,8,05:35:36,32,27,4,03:17:40,9,6,4,00:6:37,1,1,1,00:3:43,90,69,15,FIN,09:46:31,10,
149,Michael Richter,Germany,Male,M50-54,10:51:37,51,43,1,01:05:03,94,71,7,05:49:45,60,52,1,03:43:24,65,52,1,00:8:34,70,52,3,00:4:51,222,183,7,FIN,09:46:35,11,
892,Djalil Baiou,United Kingdom,Female,M40-44,10:08:47,15,3,3,01:00:19,38,9,4,05:39:58,39,6,6,03:12:52,7,2,3,00:7:59,45,13,6,00:7:39,810,138,138,FIN,09:49:29,12,
1566,Matthew Quibell,United Kingdom,Male,M40-44,10:09:45,19,15,4,01:07:37,164,130,30,05:42:27,42,36,8,03:07:54,3,2,1,00:8:30,69,51,10,00:3:18,52,40,8,FIN,09:50:25,13,
1300,Lewis Eccleston,United Kingdom,Male,M30-34,09:51:34,3,3,2,00:58:01,25,20,2,05:21:33,11,10,5,03:20:47,14,10,3,00:7:20,20,11,5,00:3:53,103,80,19,FIN,09:51:34,14,
158,Volkmar Roth,Germany,Male,M60-64,11:56:56,194,164,2,01:05:52,116,87,1,06:05:08,140,124,1,04:32:18,501,420,7,00:9:03,108,86,1,00:4:36,182,150,3,FIN,09:52:19,15,
2056,Thomas Mcmanners,Finland,Male,M25-29,09:57:11,5,4,1,01:06:06,119,90,13,05:33:30,29,25,2,03:06:43,1,1,1,00:7:45,34,23,5,00:3:07,43,33,3,FIN,09:52:27,16,
1952,Andrew Hockey,United Kingdom,Male,M45-49,10:31:47,36,30,2,01:06:36,131,100,11,05:29:51,23,20,2,03:42:55,62,49,4,00:9:59,200,161,17,00:2:26,9,5,1,FIN,09:53:56,17,
204,Princess Maddison Shaddick,United Kingdom,Female,F25-29,11:03:02,62,10,2,01:09:56,238,44,5,05:59:03,103,14,1,03:41:29,56,13,2,00:9:07,117,26,2,00:3:28,65,13,2,FIN,09:54:08,18,1
638,Gruffudd Lewis,United Kingdom,Male,M35-39,10:01:33,6,5,1,01:05:08,97,74,22,05:05:37,1,1,1,03:39:37,51,40,14,00:8:14,56,42,14,00:2:56,28,19,7,FIN,09:55:14,19,
1432,Maximilian Von Koch,Germany,Male,M35-39,10:02:04,7,6,2,00:53:52,4,4,2,05:27:11,16,14,5,03:28:22,28,22,5,00:7:44,33,22,8,00:4:55,237,195,48,FIN,09:55:44,20,
169,Emily Marchant,United Kingdom,Female,F30-34,11:06:00,67,12,1,01:23:52,938,149,19,06:08:38,168,19,1,03:21:51,16,5,1,00:8:24,63,16,2,00:3:16,49,12,2,FIN,09:57:52,21,1
140,Danny Isaacs,United Kingdom,Male,M35-39,10:06:24,12,10,3,01:04:29,77,60,20,05:30:11,24,21,7,03:22:05,19,14,2,00:6:53,7,4,2,00:2:47,15,8,4,FIN,10:00:01,22,
160,Neeltje Adriana Baldé,Netherlands,Female,F40-44,11:31:26,107,18,1,01:10:44,277,52,2,06:12:33,201,23,1,03:55:27,131,23,1,00:9:04,112,25,1,00:3:38,77,15,1,FIN,10:02:01,23,1
1692,Matt Grantham,United Kingdom,Male,M25-29,10:06:56,14,12,2,00:54:33,5,5,1,05:50:57,68,59,7,03:11:01,4,3,3,00:7:29,22,12,3,00:2:54,23,15,1,FIN,10:02:08,24,
151,Markus Becker,Germany,Male,M35-39,10:09:01,18,14,4,00:55:01,9,8,4,05:25:30,12,11,4,03:39:29,50,39,13,00:7:00,10,5,3,00:2:02,3,2,2,FIN,10:02:37,25,
591,Edwina Hartwell,United Kingdom,Female,F35-39,11:20:40,86,15,1,01:05:30,107,27,1,06:11:12,189,22,1,03:53:48,116,19,2,00:7:15,16,8,1,00:2:55,26,9,1,FIN,10:03:28,26,1
398,Kieron Davies,United Kingdom,Male,M35-39,10:09:55,20,16,5,01:03:35,62,49,16,05:14:10,6,5,3,03:38:27,45,35,11,00:10:14,226,185,46,00:3:28,64,52,14,FIN,10:03:30,27,
652,Patrick Mcdowell,United Kingdom,Female,M30-34,10:03:46,8,2,3,01:04:32,81,18,13,05:31:14,25,4,11,03:18:09,10,4,2,00:7:35,24,11,6,00:2:16,6,2,2,FIN,10:03:46,28,
1763,Oliver Teenan,United Kingdom,Female,M25-29,10:08:49,16,4,3,00:59:48,29,7,4,05:50:46,66,9,6,03:07:47,2,1,2,00:6:57,8,4,1,00:3:31,67,14,6,FIN,10:04:00,29,
128,Dan Elliot,United Kingdom,Male,M25-29,10:08:51,17,13,4,00:55:07,14,12,2,05:20:55,10,9,1,03:42:42,59,46,8,00:7:08,11,6,2,00:2:58,30,21,2,FIN,10:04:02,30,
103,Chris Ellet,United Kingdom,Male,M45-49,10:43:24,42,36,3,01:08:17,185,145,19,05:42:50,45,39,4,03:41:13,54,42,2,00:7:59,46,33,2,00:3:05,41,31,5,FIN,10:04:51,31,
1736,Claire Rendall,United Kingdom,Female,F18-24,11:46:23,158,27,1,01:01:24,45,10,1,06:27:32,356,40,1,04:01:48,197,34,1,00:10:19,233,42,2,00:5:20,302,53,2,FIN,10:05:09,32,1
632,Kevin Powell,United Kingdom,Male,M30-34,10:05:13,10,8,4,01:09:54,234,191,45,05:19:10,9,8,4,03:22:59,21,16,7,00:9:49,176,141,42,00:3:23,59,47,12,FIN,10:05:13,33,
743,Zoe Bluck,United Kingdom,Female,F30-34,11:14:45,75,13,2,00:55:10,15,3,1,06:24:43,316,37,3,03:44:52,71,14,2,00:7:18,18,9,1,00:2:42,14,7,1,FIN,10:05:43,34,1
454,Graham Wadsworth,United Kingdom,Male,M40-44,10:25:40,29,24,5,01:12:11,332,270,44,05:33:53,30,26,3,03:29:18,29,23,6,00:7:17,17,9,2,00:3:02,37,27,6,FIN,10:05:49,35,
110,Ryan James,United Kingdom,Male,M30-34,10:06:44,13,11,5,01:05:04,95,72,19,05:29:41,21,18,10,03:22:03,18,13,5,00:7:09,12,7,2,00:2:47,16,9,3,FIN,10:06:44,36,
165,Sam Shepherd,United Kingdom,Male,M35-39,10:15:31,23,18,6,01:00:43,41,32,13,05:31:21,26,22,8,03:33:08,36,28,8,00:6:48,5,3,1,00:3:32,69,55,16,FIN,10:09:03,37,
1761,Steven Allport,United Kingdom,Female,M50-54,11:17:33,81,14,2,01:04:02,70,16,5,06:06:49,155,18,8,03:48:23,81,16,2,00:10:32,258,47,10,00:7:47,841,143,69,FIN,10:09:55,38,
187,Olivier Fromentin,Switzerland,Male,M55-59,11:45:21,151,128,2,01:16:07,501,413,21,06:10:09,186,165,5,04:02:13,198,164,3,00:11:20,378,315,16,00:5:33,350,291,21,FIN,10:11:19,39,
1081,Edward Morgan,United Kingdom,Male,M65-69,13:31:01,698,604,1,01:25:47,1050,884,5,07:09:12,876,764,1,04:38:18,605,505,1,00:13:08,688,562,1,00:4:36,181,149,1,FIN,10:12:28,40,
515,Andrew Wadsworth,United Kingdom,Male,M45-49,10:53:10,54,45,4,01:12:04,328,266,35,05:29:46,22,19,1,03:56:08,136,111,9,00:9:51,179,143,16,00:5:22,308,255,33,FIN,10:14:02,41,
